Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25482,68;25479,29;2026-09-18
848069;abrdn SICAV I - Future Global Equity Fund;    104,44;  104,42;2026-09-18
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    202,10;  202,07;2026-09-18
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,97;   76,95;2026-09-18
900894;abrdn SICAV I - Select Euro High Yield Bond A;    319,23;  319,19;2026-09-18
182584;Aktia Capital Placeringsfond B;     73,66;   73,65;2026-09-18
308908;Aktie-Ansvar Avkastningsfond A;    133,06;  133,06;2026-09-18
392241;Aktiespararna Småbolag Edge B;    114,46;  114,46;2026-09-18
290072;Aktiespararna Topp Sverige;     41,95;   41,95;2026-09-18
147348;Alfred Berg Aktiv R;   4497,17; 4495,44;2026-09-18
183178;Alfred Berg Norge C;   2564,33; 2563,34;2026-09-18
933359;Allianz China A-shares AT;    158,99;  158,96;2026-09-18
753731;Allianz China Equity A;    634,28;  634,19;2026-09-18
717900;Allianz Euro High Yield Bond A;   1257,93; 1257,76;2026-09-18
273839;Allianz Global Equity Growth AT;    119,92;  119,90;2026-09-18
502922;Allianz Global Metals and Mining A;   1183,70; 1183,54;2026-09-18
878694;Allianz Global Water AT;   1905,93; 1905,68;2026-09-18
309666;Allianz Pet and Animal Wellbeing AT;     66,12;   66,11;2026-09-18
823096;AMF Aktiefond Asien Stilla Havet;    471,42;  471,42;2026-09-18
538462;AMF Aktiefond Europa;    442,78;  442,78;2026-09-18
908277;AMF Aktiefond Global;    489,75;  489,75;2026-09-18
520692;AMF Aktiefond Nordamerika;    857,95;  857,95;2026-09-18
269357;AMF Aktiefond Småbolag;   1232,68; 1232,68;2026-09-18
681783;AMF Aktiefond Sverige;   1132,25; 1132,25;2026-09-18
645952;AMF Aktiefond Världen;    893,83;  893,83;2026-09-18
610121;AMF Balansfond;    482,31;  482,31;2026-09-18
305185;AMF Räntefond Kort;    125,21;  125,21;2026-09-18
574293;AMF Räntefond Lång;    158,92;  158,92;2026-09-18
265512;AMF Räntefond Mix;    115,90;  115,90;2026-09-18
791863;Amundi Funds Global Equity Conservative A2;   1512,79; 1512,56;2026-09-17
174490;Amundi Funds Japan Equity Value A2;   1821,72; 1821,15;2026-09-17
756031;Amundi Funds Latin America Equity A2;   7955,43; 7954,22;2026-09-17
720201;Amundi Funds SBI FM India Equity A2;   3620,36; 3619,81;2026-09-17
863522;Amundi Funds Volatility World A2;   1042,84; 1042,68;2026-09-17
581371;AP7 Aktiefond;    983,59;  983,59;2026-09-18
545541;AP7 Räntefond;    118,59;  118,59;2026-09-18
715955;Avanza Emerging Markets;    195,09;  195,09;2026-09-17
734491;Avanza Zero ;    563,72;  563,72;2026-09-18
477729;Baring Asia Growth A;   1901,54; 1901,25;2026-09-18
191080;Baring Global Emerging Markets A;    683,04;  682,94;2026-09-18
262741;Baring Global Resources A;    353,44;  353,39;2026-09-18
334409;Baring Hong Kong China A;  11989,77;11987,94;2026-09-18
235291;Baring Latin America A;    437,44;  437,37;2026-09-18
285990;BL - American Small & Mid Caps B;   2185,46; 2185,12;2026-09-17
551804;BL - Bond Dollar B;    921,84;  921,70;2026-09-17
153833;BL - Emerging Markets B;   2448,35; 2448,03;2026-09-17
300996;BL - Equities America B;   1212,16; 1211,97;2026-09-17
321828;BL - Equities Asia B;   1410,06; 1409,84;2026-09-17
118000;BL - Equities Dividend B;   2834,48; 2834,11;2026-09-17
142679;BL - Equities Japan B;   2197,36; 2196,67;2026-09-17
480145;BL - Global 30 B;   1390,86; 1390,68;2026-09-17
444315;BL - Global 50 B;   1484,43; 1484,24;2026-09-17
408484;BL - Global 75 B;   1537,65; 1537,44;2026-09-17
515973;BL - Global Bond Opportunities B;   1090,52; 1090,38;2026-09-17
320358;BL - Global Equities B;   1497,85; 1497,65;2026-09-17
647669;BL - Global Flexible B;   2793,45; 2793,08;2026-09-17
214338;BL - Global Flexible USD B;   2006,51; 2006,21;2026-09-17
608463;BlackRock - Asian Dragon Fund A2;    726,31;  726,20;2026-09-18
391896;BlackRock - China A2;    187,22;  187,19;2026-09-18
231100;BlackRock - Emerging Markets A2;    566,76;  566,68;2026-09-18
302760;BlackRock - Global Allocation A2;    964,66;  964,51;2026-09-18
572637;BlackRock - Global High Yield Bond Fund A2;    334,21;  334,16;2026-09-18
768499;BlackRock - India A2;    505,73;  505,65;2026-09-18
159442;BlackRock - Japan Small & MidCap A2;   1115,61; 1115,44;2026-09-17
661066;BlackRock - Latin American A2;    803,64;  803,51;2026-09-18
536806;BlackRock - Natural Resources Growth & Income Fund A2;    190,65;  190,63;2026-09-18
553578;BlackRock - Sustainable Energy A2;    221,96;  221,92;2026-09-18
768556;BlackRock - US Basic Value A2;   1721,88; 1721,62;2026-09-18
804385;BlackRock - US Flexible Equity A2;    989,78;  989,63;2026-09-18
625236;BlackRock - US Mid-Cap Value Fund A2;   4526,56; 4525,87;2026-09-18
517748;BlackRock - World Energy A2;    370,22;  370,17;2026-09-18
410258;BlackRock - World Financials A2;    778,52;  778,40;2026-09-18
338590;BlackRock - World Gold A2;   1083,19; 1083,03;2026-09-18
374421;BlackRock - World Healthscience A2;    769,39;  769,27;2026-09-18
481911;BlackRock - World Mining A2;   1117,63; 1117,46;2026-09-18
644294;BlackRock - World Real Estate Securities Fund A2;    166,91;  166,88;2026-09-18
446088;BlackRock - World Technology A2;   1445,17; 1444,95;2026-09-18
422709;BMC Global Select fund;    416,60;  416,60;2026-09-18
408062;C WorldWide Asia 1A;   3330,03; 3329,53;2026-09-18
515554;C WorldWide Global Equities 1A;   2342,91; 2342,55;2026-09-18
479725;C WorldWide Global Equities Ethical 1A;    422,95;  422,90;2026-09-18
443895;C WorldWide Healthcare Select 1A;   1629,52; 1629,30;2026-09-18
721035;C WorldWide Sweden Small Cap 1A;    776,76;  776,76;2026-09-18
320176;Carnegie Fastighetsfond Norden A;    428,86;  428,86;2026-09-18
505586;Carnegie Indienfond A;    725,47;  725,47;2026-09-18
214163;Carnegie Likviditetsfond A;   1371,97; 1371,97;2026-09-18
341362;Carnegie Listed Private Equity A;    696,82;  696,82;2026-09-18
554691;Carnegie Obligationsfond A;    981,86;  981,86;2026-09-18
584912;Carnegie Småbolagsfond A;    828,24;  828,24;2026-09-18
357483;Carnegie Strategifond A;   2571,38; 2571,38;2026-09-18
393314;Carnegie Sverigefond A;   6034,73; 6034,73;2026-09-18
976506;CB Save Earth Fund RC;    284,78;  284,74;2026-09-17
384750;Cicero Avkastning A;    143,85;  143,85;2026-09-18
959502;Cicero Hållbar Mix A;    210,60;  210,60;2026-09-18
356410;Cliens Småbolag ;   3190,29; 3190,29;2026-09-18
423822;Cliens Sverige;   1090,56; 1090,56;2026-09-18
386870;Coeli High Yield Opportunities;    130,00;  130,00;2026-09-18
330324;CPR Invest Global Gold Mines A2;   2378,35; 2377,99;2026-09-17
366154;CPR Invest Global Lifestyles A2;   1188,39; 1188,21;2026-09-17
291906;D&G Aktiefond;   4691,00; 4691,00;2026-09-18
541235;D&G Global All Cap;    454,24;  454,24;2026-09-18
140491;D&G Småbolag;   1207,90; 1207,90;2026-09-18
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4649,15; 4649,15;2026-09-18
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    164,36;  164,36;2026-09-17
571399;Danske Invest SICAV - Europe Small Cap A;    185,60;  185,60;2026-09-17
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1349,35; 1349,35;2026-09-18
901603;Danske Invest SICAV - Sverige Ränta SI;   1179,74; 1179,74;2026-09-18
463901;Danske Invest SICAV Sverige Småbolag Class SI;    217,81;  217,81;2026-09-17
184580;Delphi Global A2;   2709,29; 2709,29;2026-09-17
326660;DNB Global Emerging Markets S;    166,95;  166,95;2026-09-17
255001;DNB Health Care S;    185,67;  185,67;2026-09-17
290833;DNB SMB S;    194,77;  194,77;2026-09-17
183343;DNB Teknologi S;    277,58;  277,58;2026-09-17
623637;East Capital Global Emerging Markets Sustainable A;    406,17;  406,17;2026-09-18
870907;East Capital Global Frontier Markets A;    316,41;  316,41;2026-09-18
664482;Evli Corporate Bond Placeringsfonden B ;   1452,69; 1452,69;2026-09-17
229625;Evli Emerging Markets Credit Placeringsfonden B;   1390,20; 1390,01;2026-09-17
570044;Evli Finland Select Placeringsfonden B;    922,79;  922,67;2026-09-17
367987;Evli GEM Placeringsfonden B;   2878,94; 2878,55;2026-09-17
793109;Evli Global Placeringsfonden B;   4647,13; 4647,13;2026-09-17
700310;Evli High Yield Placeringsfonden B;   1950,44; 1950,44;2026-09-17
574582;Evli Likviditet Placeringsfonden B;   1209,25; 1209,25;2026-09-17
621631;Evli Short Corporate Bond Placeringsfonden B;    375,76;  375,71;2026-09-17
420463;Evli Sverige Småbolag;   8313,33; 8313,33;2026-09-17
850776;Fidelity - America Fund A;    502,25;  502,18;2026-09-18
994095;Fidelity - Asian Pacific Opportunities Fund A;    380,38;  380,32;2026-09-18
922435;Fidelity - Asian Special Situations Fund A;    821,80;  821,69;2026-09-18
886606;Fidelity - China Consumer  Fund A;    192,61;  192,58;2026-09-18
958264;Fidelity - China Focus Fund A;    117,45;  117,44;2026-09-18
313320;Fidelity - Emerging Asia Fund A;    529,62;  529,55;2026-09-18
349150;Fidelity - Emerging Markets Funds A;    296,24;  296,20;2026-09-18
277491;Fidelity - Global High  Yield Fund A;    176,43;  176,40;2026-09-18
976928;Folksam LO Sverige;    750,47;  750,47;2026-09-18
941096;Folksam LO Världen;    465,66;  465,66;2026-09-18
202002;Fondita Global Megatrends Placeringsfond B;   1555,68; 1555,47;2026-09-18
237834;Fondita Nordic Small Cap Placeringsfond B;   2327,23; 2326,92;2026-09-18
389239;Franklin Biotechnology Discovery Fund;    683,57;  683,47;2026-09-17
170894;Franklin India Fund A ;    580,05;  579,96;2026-09-17
717496;Franklin Mutual Global Discovery Fund A;    332,06;  332,01;2026-09-17
532558;Franklin Natural Resources Fund A;    129,35;  129,33;2026-09-17
496729;Franklin Technology Fund A;    742,30;  742,19;2026-09-17
384107;Franklin U.S. Opportunities Fund A;    393,74;  393,68;2026-09-17
201111;GodFond Sverige & Världen;    621,92;  621,92;2026-09-18
992099;Goldman Sachs Asia Equity Income P;  22011,47;22008,11;2026-09-18
523050;Goldman Sachs Global Equity Impact Opportunities P;   6235,92; 6235,09;2026-09-18
401695;Goldman Sachs Global Social Impact Equity P;  22030,60;22027,24;2026-09-18
666370;Goldman Sachs Greater China Equity P;  19155,08;19152,15;2026-09-18
971010;Goldman Sachs Green Bond P;     87,84;   87,84;2026-09-18
929224;Handelsbanken  USA Index Criteria A1;   1212,10; 1212,10;2026-09-18
840033;Handelsbanken Amerika Tema A1;   2751,27; 2751,27;2026-09-18
504100;Handelsbanken Asien Tema A1;   1504,84; 1504,84;2026-09-18
491233;Handelsbanken Developed Markets Index Criteria A1;    156,73;  156,73;2026-09-18
750075;Handelsbanken Emerging Markets Index A1;    326,36;  326,36;2026-09-18
629543;Handelsbanken Europa Index Criteria A1;    261,79;  261,79;2026-09-18
785907;Handelsbanken Global Index Criteria A1;    723,74;  723,74;2026-09-18
549552;Handelsbanken Global Småbolag Index Criteria A1;    229,34;  229,34;2026-09-18
123679;Handelsbanken Global Tema A1;   1140,15; 1140,15;2026-09-18
644005;Handelsbanken Hälsovård Tema A1;    463,97;  463,97;2026-09-18
687509;Handelsbanken Hållbar Energi A1;    387,27;  387,27;2026-09-18
718205;Handelsbanken Kortränta A1;    163,94;  163,94;2026-09-18
524702;Handelsbanken Långränta A1;    111,55;  111,55;2026-09-18
674630;Handelsbanken Norden Selektiv (A1 SEK);    836,71;  836,71;2026-09-18
751495;Handelsbanken Nordiska Småbolag A1;   1873,60; 1873,60;2026-09-18
167114;Handelsbanken Pension 40 A12;    180,53;  180,53;2026-09-17
314682;Handelsbanken Pension 50 A12;    252,16;  252,16;2026-09-17
350512;Handelsbanken Pension 60 A12;    422,32;  422,32;2026-09-17
278853;Handelsbanken Pension 70 A12;    535,96;  535,96;2026-09-17
243022;Handelsbanken Pension 80 A12;    535,39;  535,39;2026-09-17
