Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25380,32;25376,94;2026-09-15
848069;abrdn SICAV I - Future Global Equity Fund;    103,99;  103,98;2026-09-15
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    201,33;  201,27;2026-09-15
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,73;   76,71;2026-09-15
900894;abrdn SICAV I - Select Euro High Yield Bond A;    318,14;  318,10;2026-09-15
182584;Aktia Capital Placeringsfond B;     73,16;   73,15;2026-09-15
308908;Aktie-Ansvar Avkastningsfond A;    133,04;  133,04;2026-09-15
392241;Aktiespararna Småbolag Edge B;    113,67;  113,67;2026-09-15
290072;Aktiespararna Topp Sverige;     41,44;   41,44;2026-09-15
147348;Alfred Berg Aktiv R;   4507,62; 4505,90;2026-09-15
183178;Alfred Berg Norge C;   2572,51; 2571,53;2026-09-15
933359;Allianz China A-shares AT;    155,55;  155,53;2026-09-15
753731;Allianz China Equity A;    625,69;  625,60;2026-09-15
717900;Allianz Euro High Yield Bond A;   1259,38; 1259,22;2026-09-15
273839;Allianz Global Equity Growth AT;    118,45;  118,43;2026-09-15
502922;Allianz Global Metals and Mining A;   1159,39; 1159,24;2026-09-15
878694;Allianz Global Water AT;   1886,76; 1886,51;2026-09-15
309666;Allianz Pet and Animal Wellbeing AT;     66,42;   66,41;2026-09-15
823096;AMF Aktiefond Asien Stilla Havet;    461,95;  461,95;2026-09-15
538462;AMF Aktiefond Europa;    442,08;  442,08;2026-09-15
908277;AMF Aktiefond Global;    484,81;  484,81;2026-09-15
520692;AMF Aktiefond Nordamerika;    845,67;  845,67;2026-09-15
269357;AMF Aktiefond Småbolag;   1217,30; 1217,30;2026-09-15
681783;AMF Aktiefond Sverige;   1120,31; 1120,31;2026-09-15
645952;AMF Aktiefond Världen;    884,33;  884,33;2026-09-15
610121;AMF Balansfond;    478,76;  478,76;2026-09-15
305185;AMF Räntefond Kort;    125,22;  125,22;2026-09-15
574293;AMF Räntefond Lång;    158,82;  158,82;2026-09-15
265512;AMF Räntefond Mix;    115,77;  115,77;2026-09-15
791863;Amundi Funds Global Equity Conservative A2;   1510,07; 1509,84;2026-09-14
174490;Amundi Funds Japan Equity Value A2;   1821,49; 1820,91;2026-09-14
756031;Amundi Funds Latin America Equity A2;   7896,59; 7895,37;2026-09-14
720201;Amundi Funds SBI FM India Equity A2;   3606,62; 3606,06;2026-09-11
863522;Amundi Funds Volatility World A2;   1038,35; 1038,19;2026-09-14
581371;AP7 Aktiefond;    965,60;  965,60;2026-09-15
545541;AP7 Räntefond;    118,52;  118,52;2026-09-15
715955;Avanza Emerging Markets;    197,12;  197,12;2026-09-14
734491;Avanza Zero ;    557,10;  557,10;2026-09-15
477729;Baring Asia Growth A;   1855,63; 1855,34;2026-09-15
191080;Baring Global Emerging Markets A;    671,98;  671,88;2026-09-15
262741;Baring Global Resources A;    350,96;  350,90;2026-09-15
334409;Baring Hong Kong China A;  11861,51;11859,69;2026-09-15
235291;Baring Latin America A;    440,07;  440,00;2026-09-15
285990;BL - American Small & Mid Caps B;   2190,62; 2190,28;2026-09-14
551804;BL - Bond Dollar B;    911,58;  911,44;2026-09-14
153833;BL - Emerging Markets B;   2444,97; 2444,64;2026-09-14
300996;BL - Equities America B;   1201,57; 1201,38;2026-09-14
321828;BL - Equities Asia B;   1411,36; 1411,15;2026-09-14
118000;BL - Equities Dividend B;   2848,09; 2847,71;2026-09-14
142679;BL - Equities Japan B;   2179,56; 2178,87;2026-09-14
480145;BL - Global 30 B;   1384,13; 1383,94;2026-09-14
444315;BL - Global 50 B;   1477,25; 1477,06;2026-09-14
408484;BL - Global 75 B;   1530,40; 1530,20;2026-09-14
515973;BL - Global Bond Opportunities B;   1087,64; 1087,50;2026-09-14
320358;BL - Global Equities B;   1483,78; 1483,59;2026-09-14
647669;BL - Global Flexible B;   2787,06; 2786,69;2026-09-14
214338;BL - Global Flexible USD B;   1987,35; 1987,04;2026-09-14
608463;BlackRock - Asian Dragon Fund A2;    709,74;  709,63;2026-09-15
391896;BlackRock - China A2;    185,94;  185,92;2026-09-15
231100;BlackRock - Emerging Markets A2;    557,83;  557,75;2026-09-15
302760;BlackRock - Global Allocation A2;    961,61;  961,46;2026-09-15
572637;BlackRock - Global High Yield Bond Fund A2;    332,86;  332,81;2026-09-15
768499;BlackRock - India A2;    488,87;  488,80;2026-09-15
159442;BlackRock - Japan Small & MidCap A2;   1093,17; 1093,00;2026-09-15
661066;BlackRock - Latin American A2;    806,57;  806,45;2026-09-15
536806;BlackRock - Natural Resources Growth & Income Fund A2;    192,20;  192,18;2026-09-15
553578;BlackRock - Sustainable Energy A2;    219,79;  219,75;2026-09-15
768556;BlackRock - US Basic Value A2;   1738,55; 1738,28;2026-09-15
804385;BlackRock - US Flexible Equity A2;    982,15;  982,00;2026-09-15
625236;BlackRock - US Mid-Cap Value Fund A2;   4573,68; 4572,98;2026-09-15
517748;BlackRock - World Energy A2;    373,55;  373,49;2026-09-15
410258;BlackRock - World Financials A2;    794,74;  794,62;2026-09-15
338590;BlackRock - World Gold A2;   1062,06; 1061,90;2026-09-15
374421;BlackRock - World Healthscience A2;    756,20;  756,08;2026-09-15
481911;BlackRock - World Mining A2;   1109,11; 1108,94;2026-09-15
644294;BlackRock - World Real Estate Securities Fund A2;    167,56;  167,53;2026-09-15
446088;BlackRock - World Technology A2;   1400,40; 1400,19;2026-09-15
422709;BMC Global Select fund;    410,56;  410,56;2026-09-15
408062;C WorldWide Asia 1A;   3254,76; 3254,26;2026-09-15
515554;C WorldWide Global Equities 1A;   2331,10; 2330,75;2026-09-15
479725;C WorldWide Global Equities Ethical 1A;    420,51;  420,45;2026-09-15
443895;C WorldWide Healthcare Select 1A;   1602,81; 1602,60;2026-09-15
721035;C WorldWide Sweden Small Cap 1A;    767,00;  767,00;2026-09-15
320176;Carnegie Fastighetsfond Norden A;    431,66;  431,66;2026-09-15
505586;Carnegie Indienfond A;    703,79;  703,79;2026-09-15
214163;Carnegie Likviditetsfond A;   1371,81; 1371,81;2026-09-15
341362;Carnegie Listed Private Equity A;    702,27;  702,27;2026-09-15
554691;Carnegie Obligationsfond A;    980,42;  980,42;2026-09-15
584912;Carnegie Småbolagsfond A;    826,36;  826,36;2026-09-15
357483;Carnegie Strategifond A;   2568,53; 2568,53;2026-09-15
393314;Carnegie Sverigefond A;   5983,95; 5983,95;2026-09-15
976506;CB Save Earth Fund RC;    279,71;  279,67;2026-09-14
384750;Cicero Avkastning A;    143,82;  143,82;2026-09-15
959502;Cicero Hållbar Mix A;    210,05;  210,05;2026-09-15
356410;Cliens Småbolag ;   3147,11; 3147,11;2026-09-15
423822;Cliens Sverige;   1077,67; 1077,67;2026-09-15
