Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25576,61;25573,20;2026-09-23
848069;abrdn SICAV I - Future Global Equity Fund;    106,52;  106,51;2026-09-23
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    202,10;  202,07;2026-09-18
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,97;   76,95;2026-09-18
900894;abrdn SICAV I - Select Euro High Yield Bond A;    319,52;  319,48;2026-09-23
182584;Aktia Capital Placeringsfond B;     74,42;   74,41;2026-09-23
308908;Aktie-Ansvar Avkastningsfond A;    133,07;  133,07;2026-09-23
392241;Aktiespararna Småbolag Edge B;    116,94;  116,94;2026-09-23
290072;Aktiespararna Topp Sverige;     42,66;   42,66;2026-09-23
147348;Alfred Berg Aktiv R;   4471,70; 4469,98;2026-09-23
183178;Alfred Berg Norge C;   2550,13; 2549,15;2026-09-23
933359;Allianz China A-shares AT;    159,34;  159,31;2026-09-23
753731;Allianz China Equity A;    642,17;  642,07;2026-09-23
717900;Allianz Euro High Yield Bond A;   1263,99; 1263,82;2026-09-23
273839;Allianz Global Equity Growth AT;    123,07;  123,05;2026-09-23
502922;Allianz Global Metals and Mining A;   1193,76; 1193,60;2026-09-23
878694;Allianz Global Water AT;   1939,32; 1939,06;2026-09-23
309666;Allianz Pet and Animal Wellbeing AT;     66,48;   66,47;2026-09-23
823096;AMF Aktiefond Asien Stilla Havet;    482,37;  482,37;2026-09-23
538462;AMF Aktiefond Europa;    445,87;  445,87;2026-09-23
908277;AMF Aktiefond Global;    497,36;  497,36;2026-09-23
520692;AMF Aktiefond Nordamerika;    873,30;  873,30;2026-09-23
269357;AMF Aktiefond Småbolag;   1252,79; 1252,79;2026-09-23
681783;AMF Aktiefond Sverige;   1148,14; 1148,14;2026-09-23
645952;AMF Aktiefond Världen;    907,36;  907,36;2026-09-23
610121;AMF Balansfond;    487,26;  487,26;2026-09-23
305185;AMF Räntefond Kort;    125,24;  125,24;2026-09-23
574293;AMF Räntefond Lång;    159,03;  159,03;2026-09-23
265512;AMF Räntefond Mix;    115,84;  115,84;2026-09-23
791863;Amundi Funds Global Equity Conservative A2;   1497,71; 1497,48;2026-09-22
174490;Amundi Funds Japan Equity Value A2;   1821,72; 1821,15;2026-09-17
756031;Amundi Funds Latin America Equity A2;   8094,26; 8093,02;2026-09-22
720201;Amundi Funds SBI FM India Equity A2;   3657,68; 3657,12;2026-09-22
863522;Amundi Funds Volatility World A2;   1039,65; 1039,50;2026-09-22
581371;AP7 Aktiefond;    995,48;  995,48;2026-09-23
545541;AP7 Räntefond;    118,61;  118,61;2026-09-23
715955;Avanza Emerging Markets;    204,25;  204,25;2026-09-22
734491;Avanza Zero ;    576,86;  576,86;2026-09-22
477729;Baring Asia Growth A;   1977,39; 1977,09;2026-09-23
191080;Baring Global Emerging Markets A;    712,35;  712,24;2026-09-23
262741;Baring Global Resources A;    349,91;  349,86;2026-09-23
334409;Baring Hong Kong China A;  12167,66;12165,81;2026-09-23
235291;Baring Latin America A;    446,22;  446,15;2026-09-23
285990;BL - American Small & Mid Caps B;   2202,16; 2201,82;2026-09-22
551804;BL - Bond Dollar B;    922,31;  922,17;2026-09-22
153833;BL - Emerging Markets B;   2537,71; 2537,37;2026-09-22
300996;BL - Equities America B;   1235,00; 1234,81;2026-09-22
321828;BL - Equities Asia B;   1460,34; 1460,11;2026-09-22
118000;BL - Equities Dividend B;   2844,69; 2844,31;2026-09-22
142679;BL - Equities Japan B;   2172,05; 2171,70;2026-09-18
480145;BL - Global 30 B;   1393,54; 1393,36;2026-09-22
444315;BL - Global 50 B;   1489,37; 1489,17;2026-09-22
408484;BL - Global 75 B;   1545,96; 1545,76;2026-09-22
515973;BL - Global Bond Opportunities B;   1092,42; 1092,28;2026-09-22
320358;BL - Global Equities B;   1522,40; 1522,20;2026-09-22
647669;BL - Global Flexible B;   2824,63; 2824,25;2026-09-22
214338;BL - Global Flexible USD B;   2016,46; 2016,15;2026-09-22
608463;BlackRock - Asian Dragon Fund A2;    755,08;  754,96;2026-09-23
391896;BlackRock - China A2;    189,95;  189,92;2026-09-23
231100;BlackRock - Emerging Markets A2;    580,81;  580,72;2026-09-23
302760;BlackRock - Global Allocation A2;    975,52;  975,37;2026-09-23
572637;BlackRock - Global High Yield Bond Fund A2;    335,80;  335,75;2026-09-23
768499;BlackRock - India A2;    510,16;  510,08;2026-09-23
159442;BlackRock - Japan Small & MidCap A2;   1112,29; 1112,12;2026-09-23
661066;BlackRock - Latin American A2;    829,48;  829,35;2026-09-23
536806;BlackRock - Natural Resources Growth & Income Fund A2;    189,46;  189,43;2026-09-23
553578;BlackRock - Sustainable Energy A2;    226,56;  226,53;2026-09-23
768556;BlackRock - US Basic Value A2;   1733,06; 1732,80;2026-09-23
804385;BlackRock - US Flexible Equity A2;   1014,30; 1014,15;2026-09-23
625236;BlackRock - US Mid-Cap Value Fund A2;   4543,88; 4543,19;2026-09-23
517748;BlackRock - World Energy A2;    366,68;  366,63;2026-09-23
410258;BlackRock - World Financials A2;    773,83;  773,71;2026-09-23
338590;BlackRock - World Gold A2;   1074,69; 1074,53;2026-09-23
374421;BlackRock - World Healthscience A2;    782,90;  782,78;2026-09-23
481911;BlackRock - World Mining A2;   1111,50; 1111,33;2026-09-23
644294;BlackRock - World Real Estate Securities Fund A2;    168,05;  168,02;2026-09-23
446088;BlackRock - World Technology A2;   1513,71; 1513,48;2026-09-23
422709;BMC Global Select fund;    426,47;  426,47;2026-09-23
408062;C WorldWide Asia 1A;   3446,10; 3445,57;2026-09-23
515554;C WorldWide Global Equities 1A;   2362,23; 2361,87;2026-09-23
479725;C WorldWide Global Equities Ethical 1A;    428,36;  428,30;2026-09-23
443895;C WorldWide Healthcare Select 1A;   1634,51; 1634,30;2026-09-23
721035;C WorldWide Sweden Small Cap 1A;    788,32;  788,32;2026-09-23
320176;Carnegie Fastighetsfond Norden A;    427,26;  427,26;2026-09-23
505586;Carnegie Indienfond A;    728,28;  728,28;2026-09-23
214163;Carnegie Likviditetsfond A;   1372,31; 1372,31;2026-09-23
341362;Carnegie Listed Private Equity A;    697,04;  697,04;2026-09-23
