Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25506,97;25503,57;2026-09-14
848069;abrdn SICAV I - Future Global Equity Fund;    103,94;  103,93;2026-09-14
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    201,32;  201,25;2026-09-14
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     77,11;   77,09;2026-09-14
900894;abrdn SICAV I - Select Euro High Yield Bond A;    318,06;  318,01;2026-09-14
182584;Aktia Capital Placeringsfond B;     72,16;   72,15;2026-09-14
308908;Aktie-Ansvar Avkastningsfond A;    133,07;  133,07;2026-09-14
392241;Aktiespararna Småbolag Edge B;    114,13;  114,13;2026-09-14
290072;Aktiespararna Topp Sverige;     41,47;   41,47;2026-09-14
147348;Alfred Berg Aktiv R;   4497,38; 4495,66;2026-09-14
183178;Alfred Berg Norge C;   2568,76; 2567,78;2026-09-14
933359;Allianz China A-shares AT;    155,76;  155,73;2026-09-14
753731;Allianz China Equity A;    627,64;  627,55;2026-09-14
717900;Allianz Euro High Yield Bond A;   1259,59; 1259,42;2026-09-14
273839;Allianz Global Equity Growth AT;    118,73;  118,71;2026-09-14
502922;Allianz Global Metals and Mining A;   1185,27; 1185,11;2026-09-14
878694;Allianz Global Water AT;   1895,01; 1894,76;2026-09-14
309666;Allianz Pet and Animal Wellbeing AT;     65,94;   65,93;2026-09-14
823096;AMF Aktiefond Asien Stilla Havet;    467,95;  467,95;2026-09-14
538462;AMF Aktiefond Europa;    444,71;  444,71;2026-09-14
908277;AMF Aktiefond Global;    487,59;  487,59;2026-09-14
520692;AMF Aktiefond Nordamerika;    848,94;  848,94;2026-09-14
269357;AMF Aktiefond Småbolag;   1225,89; 1225,89;2026-09-14
681783;AMF Aktiefond Sverige;   1124,27; 1124,27;2026-09-14
645952;AMF Aktiefond Världen;    888,50;  888,50;2026-09-14
610121;AMF Balansfond;    480,19;  480,19;2026-09-14
305185;AMF Räntefond Kort;    125,22;  125,22;2026-09-14
574293;AMF Räntefond Lång;    158,83;  158,83;2026-09-14
265512;AMF Räntefond Mix;    115,70;  115,70;2026-09-14
791863;Amundi Funds Global Equity Conservative A2;   1490,64; 1490,41;2026-09-11
174490;Amundi Funds Japan Equity Value A2;   1789,97; 1789,69;2026-09-11
756031;Amundi Funds Latin America Equity A2;   7933,08; 7931,85;2026-09-11
720201;Amundi Funds SBI FM India Equity A2;   3598,98; 3598,41;2026-09-10
863522;Amundi Funds Volatility World A2;   1028,68; 1028,52;2026-09-11
581371;AP7 Aktiefond;    972,42;  972,42;2026-09-14
545541;AP7 Räntefond;    118,51;  118,51;2026-09-14
715955;Avanza Emerging Markets;    197,84;  197,84;2026-09-11
734491;Avanza Zero ;    557,18;  557,18;2026-09-14
477729;Baring Asia Growth A;   1860,58; 1860,29;2026-09-14
191080;Baring Global Emerging Markets A;    675,77;  675,66;2026-09-14
262741;Baring Global Resources A;    352,84;  352,79;2026-09-14
334409;Baring Hong Kong China A;  11840,01;11838,18;2026-09-14
235291;Baring Latin America A;    435,77;  435,70;2026-09-14
285990;BL - American Small & Mid Caps B;   2162,02; 2161,68;2026-09-11
551804;BL - Bond Dollar B;    905,36;  905,21;2026-09-11
153833;BL - Emerging Markets B;   2447,41; 2447,08;2026-09-11
300996;BL - Equities America B;   1193,02; 1192,83;2026-09-11
321828;BL - Equities Asia B;   1415,59; 1415,37;2026-09-11
118000;BL - Equities Dividend B;   2795,05; 2794,67;2026-09-11
142679;BL - Equities Japan B;   2135,04; 2134,70;2026-09-11
480145;BL - Global 30 B;   1380,79; 1380,61;2026-09-11
444315;BL - Global 50 B;   1471,52; 1471,32;2026-09-11
408484;BL - Global 75 B;   1521,15; 1520,95;2026-09-11
515973;BL - Global Bond Opportunities B;   1085,48; 1085,33;2026-09-11
320358;BL - Global Equities B;   1476,69; 1476,49;2026-09-11
647669;BL - Global Flexible B;   2764,84; 2764,47;2026-09-11
214338;BL - Global Flexible USD B;   1977,66; 1977,35;2026-09-11
608463;BlackRock - Asian Dragon Fund A2;    713,77;  713,66;2026-09-14
391896;BlackRock - China A2;    186,31;  186,28;2026-09-14
231100;BlackRock - Emerging Markets A2;    558,84;  558,75;2026-09-14
302760;BlackRock - Global Allocation A2;    958,35;  958,20;2026-09-14
572637;BlackRock - Global High Yield Bond Fund A2;    331,89;  331,84;2026-09-14
768499;BlackRock - India A2;    500,66;  500,59;2026-09-14
159442;BlackRock - Japan Small & MidCap A2;   1082,49; 1082,33;2026-09-14
661066;BlackRock - Latin American A2;    797,47;  797,35;2026-09-14
536806;BlackRock - Natural Resources Growth & Income Fund A2;    191,87;  191,84;2026-09-14
553578;BlackRock - Sustainable Energy A2;    219,54;  219,51;2026-09-14
768556;BlackRock - US Basic Value A2;   1737,41; 1737,14;2026-09-14
804385;BlackRock - US Flexible Equity A2;    979,11;  978,96;2026-09-14
625236;BlackRock - US Mid-Cap Value Fund A2;   4566,28; 4565,57;2026-09-14
517748;BlackRock - World Energy A2;    373,40;  373,34;2026-09-14
410258;BlackRock - World Financials A2;    796,60;  796,47;2026-09-14
338590;BlackRock - World Gold A2;   1053,16; 1053,00;2026-09-14
374421;BlackRock - World Healthscience A2;    757,91;  757,79;2026-09-14
481911;BlackRock - World Mining A2;   1104,52; 1104,35;2026-09-14
644294;BlackRock - World Real Estate Securities Fund A2;    167,99;  167,97;2026-09-14
446088;BlackRock - World Technology A2;   1391,49; 1391,27;2026-09-14
422709;BMC Global Select fund;    412,39;  412,39;2026-09-14
408062;C WorldWide Asia 1A;   3249,33; 3248,83;2026-09-14
515554;C WorldWide Global Equities 1A;   2332,01; 2331,65;2026-09-14
479725;C WorldWide Global Equities Ethical 1A;    422,15;  422,10;2026-09-14
443895;C WorldWide Healthcare Select 1A;   1610,69; 1610,47;2026-09-14
721035;C WorldWide Sweden Small Cap 1A;    771,96;  771,96;2026-09-14
320176;Carnegie Fastighetsfond Norden A;    436,44;  436,44;2026-09-14
505586;Carnegie Indienfond A;    713,88;  713,88;2026-09-11
214163;Carnegie Likviditetsfond A;   1371,83; 1371,83;2026-09-14
341362;Carnegie Listed Private Equity A;    708,45;  708,45;2026-09-14
554691;Carnegie Obligationsfond A;    980,70;  980,70;2026-09-14
584912;Carnegie Småbolagsfond A;    828,92;  828,92;2026-09-14
357483;Carnegie Strategifond A;   2569,08; 2569,08;2026-09-14
393314;Carnegie Sverigefond A;   5983,82; 5983,82;2026-09-14
976506;CB Save Earth Fund RC;    291,50;  291,46;2026-09-11
384750;Cicero Avkastning A;    143,85;  143,85;2026-09-14
959502;Cicero Hållbar Mix A;    210,14;  210,14;2026-09-14
356410;Cliens Småbolag ;   3164,40; 3164,40;2026-09-14
423822;Cliens Sverige;   1078,50; 1078,50;2026-09-14
386870;Coeli High Yield Opportunities;    129,89;  129,89;2026-09-14
330324;CPR Invest Global Gold Mines A2;   2377,14; 2376,77;2026-09-11
366154;CPR Invest Global Lifestyles A2;   1176,96; 1176,78;2026-09-11
291906;D&G Aktiefond;   4701,99; 4701,99;2026-09-14
541235;D&G Global All Cap;    447,22;  447,22;2026-09-14
140491;D&G Småbolag;   1206,23; 1206,23;2026-09-14
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4620,19; 4620,19;2026-09-14
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    164,34;  164,34;2026-09-11
571399;Danske Invest SICAV - Europe Small Cap A;    184,48;  184,48;2026-09-11
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1349,56; 1349,56;2026-09-14
901603;Danske Invest SICAV - Sverige Ränta SI;   1179,76; 1179,76;2026-09-14
463901;Danske Invest SICAV Sverige Småbolag Class SI;    216,19;  216,19;2026-09-11
184580;Delphi Global A2;   2689,84; 2689,84;2026-09-11
326660;DNB Global Emerging Markets S;    168,61;  168,61;2026-09-11
255001;DNB Health Care S;    179,95;  179,95;2026-09-11
290833;DNB SMB S;    191,29;  191,29;2026-09-11
183343;DNB Teknologi S;    273,82;  273,82;2026-09-11
623637;East Capital Global Emerging Markets Sustainable A;    398,60;  398,60;2026-09-14
870907;East Capital Global Frontier Markets A;    314,69;  314,69;2026-09-14
664482;Evli Corporate Bond Placeringsfonden B ;   1453,60; 1453,60;2026-09-11
229625;Evli Emerging Markets Credit Placeringsfonden B;   1389,81; 1389,62;2026-09-11
570044;Evli Finland Select Placeringsfonden B;    907,32;  907,20;2026-09-11
367987;Evli GEM Placeringsfonden B;   2872,05; 2871,67;2026-09-11
793109;Evli Global Placeringsfonden B;   4536,27; 4536,27;2026-09-11
700310;Evli High Yield Placeringsfonden B;   1951,60; 1951,60;2026-09-11
574582;Evli Likviditet Placeringsfonden B;   1209,14; 1209,14;2026-09-11
621631;Evli Short Corporate Bond Placeringsfonden B;    374,59;  374,54;2026-09-11
420463;Evli Sverige Småbolag;   8284,64; 8284,64;2026-09-11
850776;Fidelity - America Fund A;    506,83;  506,76;2026-09-14
994095;Fidelity - Asian Pacific Opportunities Fund A;    375,98;  375,93;2026-09-14
922435;Fidelity - Asian Special Situations Fund A;    803,77;  803,66;2026-09-14
886606;Fidelity - China Consumer  Fund A;    191,99;  191,96;2026-09-14
958264;Fidelity - China Focus Fund A;    118,30;  118,28;2026-09-14
313320;Fidelity - Emerging Asia Fund A;    522,48;  522,41;2026-09-14
349150;Fidelity - Emerging Markets Funds A;    290,97;  290,93;2026-09-14
277491;Fidelity - Global High  Yield Fund A;    175,49;  175,47;2026-09-14
976928;Folksam LO Sverige;    739,96;  739,96;2026-09-14
941096;Folksam LO Världen;    459,68;  459,68;2026-09-14
202002;Fondita Global Megatrends Placeringsfond B;   1514,21; 1514,01;2026-09-14
237834;Fondita Nordic Small Cap Placeringsfond B;   2298,80; 2298,49;2026-09-14
389239;Franklin Biotechnology Discovery Fund;    673,12;  673,01;2026-09-11
170894;Franklin India Fund A ;    577,55;  577,46;2026-09-11
717496;Franklin Mutual Global Discovery Fund A;    328,87;  328,82;2026-09-11
532558;Franklin Natural Resources Fund A;    129,03;  129,01;2026-09-11
496729;Franklin Technology Fund A;    728,83;  728,72;2026-09-11
384107;Franklin U.S. Opportunities Fund A;    387,39;  387,33;2026-09-11
201111;GodFond Sverige & Världen;    615,02;  615,02;2026-09-14
992099;Goldman Sachs Asia Equity Income P;  21688,38;21685,04;2026-09-14
523050;Goldman Sachs Global Equity Impact Opportunities P;   6151,22; 6150,40;2026-09-14
401695;Goldman Sachs Global Social Impact Equity P;  21823,92;21820,56;2026-09-14
666370;Goldman Sachs Greater China Equity P;  18719,58;18716,70;2026-09-14
971010;Goldman Sachs Green Bond P;     87,86;   87,86;2026-09-14
929224;Handelsbanken  USA Index Criteria A1;   1197,86; 1197,86;2026-09-14
840033;Handelsbanken Amerika Tema A1;   2712,00; 2712,00;2026-09-14
504100;Handelsbanken Asien Tema A1;   1478,21; 1478,21;2026-09-14
491233;Handelsbanken Developed Markets Index Criteria A1;    155,45;  155,45;2026-09-14
750075;Handelsbanken Emerging Markets Index A1;    320,16;  320,16;2026-09-14
629543;Handelsbanken Europa Index Criteria A1;    262,49;  262,49;2026-09-14
785907;Handelsbanken Global Index Criteria A1;    716,54;  716,54;2026-09-14
549552;Handelsbanken Global Småbolag Index Criteria A1;    229,03;  229,03;2026-09-14
123679;Handelsbanken Global Tema A1;   1127,77; 1127,77;2026-09-14
644005;Handelsbanken Hälsovård Tema A1;    458,45;  458,45;2026-09-14
687509;Handelsbanken Hållbar Energi A1;    382,27;  382,27;2026-09-14
718205;Handelsbanken Kortränta A1;    163,89;  163,89;2026-09-14
524702;Handelsbanken Långränta A1;    111,42;  111,42;2026-09-14
674630;Handelsbanken Norden Selektiv (A1 SEK);    831,36;  831,36;2026-09-14
751495;Handelsbanken Nordiska Småbolag A1;   1865,70; 1865,70;2026-09-14
167114;Handelsbanken Pension 40 A12;    180,29;  180,29;2026-09-11
314682;Handelsbanken Pension 50 A12;    251,80;  251,80;2026-09-11
350512;Handelsbanken Pension 60 A12;    420,88;  420,88;2026-09-11
278853;Handelsbanken Pension 70 A12;    532,95;  532,95;2026-09-11
243022;Handelsbanken Pension 80 A12;    532,31;  532,31;2026-09-11
952010;Handelsbanken Svenska Småbolag A1;   2485,44; 2485,44;2026-09-14
465914;Handelsbanken Sverige 100 Index Criteria A1;    541,96;  541,96;2026-09-14
638809;Handelsbanken Sverige Index Criteria (A1 SEK);    595,83;  595,83;2026-09-14
602979;Handelsbanken Sverige LM Index (A1 SEK);    122,29;  122,29;2026-09-14
459652;Handelsbanken Sverige Selektiv (A1 SEK);    999,51;  999,51;2026-09-14
987842;Handelsbanken Tillväxtmarknad Tema A1;    647,46;  647,46;2026-09-14
500976;HealthInvest Small & Mid Cap Healthcare;    181,25;  181,25;2026-09-11
282632;Holberg Global A;    661,87;  661,62;2026-09-14
318469;Holberg Norge;   1674,57; 1673,93;2026-09-14
712299;Humle Småbolagsfond A;    730,08;  730,08;2026-09-14
307306;Indecap Guide 1 C;    127,69;  127,69;2026-09-11
271478;Indecap Guide 2 C;    293,31;  293,31;2026-09-11
233585;JPMorgan China A;    708,80;  708,69;2026-09-14
305243;JPMorgan Emerging Markets Equity A ;    646,34;  646,24;2026-09-14
124438;JPMorgan Funds - Europe Sustainable Equity Fund;   2699,01; 2698,65;2026-09-14
535569;JPMorgan Funds - Europe Sustainable Small Cap Equity Fund;   1811,12; 1810,88;2026-09-14
676460;Kotak Funds - India Growth Fund;    225,14;  225,10;2026-09-11
895699;Kotak Funds - India Midcap A;    374,53;  374,47;2026-09-11
224493;KPA Blandfond;    528,67;  528,67;2026-09-14
295857;Lannebo Emerging Markets A;    400,11;  400,11;2026-09-14
660829;Lannebo FRN A;    131,81;  131,81;2026-09-14
104786;Lannebo Företagsobligationsfond A;    136,16;  136,16;2026-09-14
964767;Lannebo Global A;    566,38;  566,38;2026-09-14
