Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25864,77;25861,32;2026-09-22
848069;abrdn SICAV I - Future Global Equity Fund;    106,28;  106,26;2026-09-22
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    202,10;  202,07;2026-09-18
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,97;   76,95;2026-09-18
900894;abrdn SICAV I - Select Euro High Yield Bond A;    319,56;  319,52;2026-09-22
182584;Aktia Capital Placeringsfond B;     74,91;   74,90;2026-09-22
308908;Aktie-Ansvar Avkastningsfond A;    133,08;  133,08;2026-09-22
392241;Aktiespararna Småbolag Edge B;    116,50;  116,50;2026-09-22
290072;Aktiespararna Topp Sverige;     42,94;   42,94;2026-09-22
147348;Alfred Berg Aktiv R;   4474,02; 4472,31;2026-09-22
183178;Alfred Berg Norge C;   2554,39; 2553,41;2026-09-22
933359;Allianz China A-shares AT;    160,03;  160,00;2026-09-21
753731;Allianz China Equity A;    644,28;  644,19;2026-09-21
717900;Allianz Euro High Yield Bond A;   1264,15; 1263,99;2026-09-21
273839;Allianz Global Equity Growth AT;    121,24;  121,22;2026-09-21
502922;Allianz Global Metals and Mining A;   1178,58; 1178,43;2026-09-21
878694;Allianz Global Water AT;   1912,49; 1912,23;2026-09-21
309666;Allianz Pet and Animal Wellbeing AT;     66,17;   66,16;2026-09-21
823096;AMF Aktiefond Asien Stilla Havet;    480,74;  480,74;2026-09-22
538462;AMF Aktiefond Europa;    449,17;  449,17;2026-09-22
908277;AMF Aktiefond Global;    497,94;  497,94;2026-09-22
520692;AMF Aktiefond Nordamerika;    872,73;  872,73;2026-09-22
269357;AMF Aktiefond Småbolag;   1259,73; 1259,73;2026-09-22
681783;AMF Aktiefond Sverige;   1157,33; 1157,33;2026-09-22
645952;AMF Aktiefond Världen;    910,98;  910,98;2026-09-22
610121;AMF Balansfond;    489,60;  489,60;2026-09-22
305185;AMF Räntefond Kort;    125,25;  125,25;2026-09-22
574293;AMF Räntefond Lång;    159,63;  159,63;2026-09-22
265512;AMF Räntefond Mix;    116,41;  116,41;2026-09-22
791863;Amundi Funds Global Equity Conservative A2;   1501,92; 1501,69;2026-09-21
174490;Amundi Funds Japan Equity Value A2;   1821,72; 1821,15;2026-09-17
756031;Amundi Funds Latin America Equity A2;   8033,86; 8032,63;2026-09-21
720201;Amundi Funds SBI FM India Equity A2;   3665,92; 3665,36;2026-09-21
863522;Amundi Funds Volatility World A2;   1041,81; 1041,65;2026-09-21
581371;AP7 Aktiefond;    998,35;  998,35;2026-09-22
545541;AP7 Räntefond;    118,94;  118,94;2026-09-22
715955;Avanza Emerging Markets;    202,11;  202,11;2026-09-21
734491;Avanza Zero ;    576,86;  576,86;2026-09-22
477729;Baring Asia Growth A;   1973,18; 1972,88;2026-09-22
191080;Baring Global Emerging Markets A;    708,87;  708,77;2026-09-22
262741;Baring Global Resources A;    347,60;  347,55;2026-09-22
334409;Baring Hong Kong China A;  12345,33;12343,45;2026-09-22
235291;Baring Latin America A;    443,21;  443,14;2026-09-22
285990;BL - American Small & Mid Caps B;   2184,95; 2184,62;2026-09-21
551804;BL - Bond Dollar B;    922,78;  922,64;2026-09-21
153833;BL - Emerging Markets B;   2513,52; 2513,18;2026-09-21
300996;BL - Equities America B;   1235,32; 1235,13;2026-09-21
321828;BL - Equities Asia B;   1446,83; 1446,61;2026-09-21
118000;BL - Equities Dividend B;   2824,42; 2824,04;2026-09-21
142679;BL - Equities Japan B;   2172,05; 2171,70;2026-09-18
480145;BL - Global 30 B;   1393,53; 1393,34;2026-09-21
444315;BL - Global 50 B;   1488,13; 1487,93;2026-09-21
408484;BL - Global 75 B;   1542,09; 1541,89;2026-09-21
515973;BL - Global Bond Opportunities B;   1093,58; 1093,43;2026-09-21
320358;BL - Global Equities B;   1515,90; 1515,70;2026-09-21
647669;BL - Global Flexible B;   2797,55; 2797,18;2026-09-21
214338;BL - Global Flexible USD B;   2014,47; 2014,16;2026-09-21
608463;BlackRock - Asian Dragon Fund A2;    757,07;  756,95;2026-09-22
391896;BlackRock - China A2;    191,70;  191,67;2026-09-22
231100;BlackRock - Emerging Markets A2;    582,38;  582,29;2026-09-22
302760;BlackRock - Global Allocation A2;    977,79;  977,64;2026-09-22
572637;BlackRock - Global High Yield Bond Fund A2;    335,50;  335,45;2026-09-22
768499;BlackRock - India A2;    507,73;  507,65;2026-09-22
159442;BlackRock - Japan Small & MidCap A2;   1115,61; 1115,44;2026-09-17
661066;BlackRock - Latin American A2;    820,61;  820,48;2026-09-22
536806;BlackRock - Natural Resources Growth & Income Fund A2;    188,85;  188,82;2026-09-22
553578;BlackRock - Sustainable Energy A2;    227,41;  227,37;2026-09-22
768556;BlackRock - US Basic Value A2;   1737,51; 1737,25;2026-09-22
804385;BlackRock - US Flexible Equity A2;   1017,92; 1017,76;2026-09-22
625236;BlackRock - US Mid-Cap Value Fund A2;   4559,92; 4559,23;2026-09-22
517748;BlackRock - World Energy A2;    361,47;  361,41;2026-09-22
410258;BlackRock - World Financials A2;    784,90;  784,79;2026-09-22
338590;BlackRock - World Gold A2;   1094,54; 1094,37;2026-09-22
374421;BlackRock - World Healthscience A2;    775,46;  775,34;2026-09-22
481911;BlackRock - World Mining A2;   1127,39; 1127,22;2026-09-22
644294;BlackRock - World Real Estate Securities Fund A2;    168,59;  168,56;2026-09-22
446088;BlackRock - World Technology A2;   1514,24; 1514,01;2026-09-22
422709;BMC Global Select fund;    427,07;  427,07;2026-09-22
408062;C WorldWide Asia 1A;   3480,14; 3479,61;2026-09-22
515554;C WorldWide Global Equities 1A;   2371,53; 2371,17;2026-09-22
479725;C WorldWide Global Equities Ethical 1A;    428,63;  428,57;2026-09-22
443895;C WorldWide Healthcare Select 1A;   1630,63; 1630,41;2026-09-22
721035;C WorldWide Sweden Small Cap 1A;    793,77;  793,77;2026-09-22
320176;Carnegie Fastighetsfond Norden A;    435,72;  435,72;2026-09-22
505586;Carnegie Indienfond A;    719,70;  719,70;2026-09-22
214163;Carnegie Likviditetsfond A;   1372,34; 1372,34;2026-09-22
341362;Carnegie Listed Private Equity A;    702,53;  702,53;2026-09-22
554691;Carnegie Obligationsfond A;    987,63;  987,63;2026-09-22
584912;Carnegie Småbolagsfond A;    844,56;  844,56;2026-09-22
357483;Carnegie Strategifond A;   2612,88; 2612,88;2026-09-22
393314;Carnegie Sverigefond A;   6183,48; 6183,48;2026-09-22
976506;CB Save Earth Fund RC;    291,15;  291,11;2026-09-21
384750;Cicero Avkastning A;    143,91;  143,91;2026-09-22
959502;Cicero Hållbar Mix A;    212,28;  212,28;2026-09-22
356410;Cliens Småbolag ;   3262,74; 3262,74;2026-09-22
423822;Cliens Sverige;   1117,54; 1117,54;2026-09-22
386870;Coeli High Yield Opportunities;    129,97;  129,97;2026-09-22
330324;CPR Invest Global Gold Mines A2;   2365,87; 2365,51;2026-09-21
366154;CPR Invest Global Lifestyles A2;   1184,16; 1183,98;2026-09-18
291906;D&G Aktiefond;   4828,00; 4828,00;2026-09-22
541235;D&G Global All Cap;    462,02;  462,02;2026-09-22
140491;D&G Småbolag;   1240,51; 1240,51;2026-09-22
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4738,00; 4738,00;2026-09-22
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    164,55;  164,55;2026-09-21
571399;Danske Invest SICAV - Europe Small Cap A;    185,42;  185,42;2026-09-21
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1350,67; 1350,67;2026-09-22
901603;Danske Invest SICAV - Sverige Ränta SI;   1184,29; 1184,29;2026-09-22
463901;Danske Invest SICAV Sverige Småbolag Class SI;    218,73;  218,73;2026-09-21
184580;Delphi Global A2;   2751,43; 2751,43;2026-09-21
326660;DNB Global Emerging Markets S;    174,22;  174,22;2026-09-21
255001;DNB Health Care S;    184,79;  184,79;2026-09-21
290833;DNB SMB S;    195,64;  195,64;2026-09-21
183343;DNB Teknologi S;    281,84;  281,84;2026-09-21
623637;East Capital Global Emerging Markets Sustainable A;    420,69;  420,69;2026-09-22
870907;East Capital Global Frontier Markets A;    320,12;  320,12;2026-09-22
664482;Evli Corporate Bond Placeringsfonden B ;   1453,02; 1453,02;2026-09-21
229625;Evli Emerging Markets Credit Placeringsfonden B;   1393,03; 1392,84;2026-09-21
570044;Evli Finland Select Placeringsfonden B;    920,92;  920,80;2026-09-21
367987;Evli GEM Placeringsfonden B;   2887,95; 2887,57;2026-09-21
793109;Evli Global Placeringsfonden B;   4627,98; 4627,98;2026-09-21
700310;Evli High Yield Placeringsfonden B;   1950,67; 1950,67;2026-09-21
574582;Evli Likviditet Placeringsfonden B;   1209,67; 1209,67;2026-09-21
621631;Evli Short Corporate Bond Placeringsfonden B;    376,42;  376,37;2026-09-21
420463;Evli Sverige Småbolag;   8363,72; 8363,72;2026-09-21
850776;Fidelity - America Fund A;    504,95;  504,88;2026-09-22
994095;Fidelity - Asian Pacific Opportunities Fund A;    388,27;  388,21;2026-09-22
922435;Fidelity - Asian Special Situations Fund A;    860,75;  860,63;2026-09-22
886606;Fidelity - China Consumer  Fund A;    197,29;  197,26;2026-09-22
958264;Fidelity - China Focus Fund A;    119,21;  119,19;2026-09-22
313320;Fidelity - Emerging Asia Fund A;    548,92;  548,84;2026-09-22
349150;Fidelity - Emerging Markets Funds A;    307,77;  307,73;2026-09-22
277491;Fidelity - Global High  Yield Fund A;    177,05;  177,02;2026-09-22
976928;Folksam LO Sverige;    768,04;  768,04;2026-09-22
941096;Folksam LO Världen;    470,05;  470,05;2026-09-22
202002;Fondita Global Megatrends Placeringsfond B;   1592,80; 1592,59;2026-09-22
237834;Fondita Nordic Small Cap Placeringsfond B;   2397,81; 2397,49;2026-09-22
389239;Franklin Biotechnology Discovery Fund;    673,88;  673,78;2026-09-21
170894;Franklin India Fund A ;    587,51;  587,42;2026-09-21
717496;Franklin Mutual Global Discovery Fund A;    331,33;  331,28;2026-09-21
532558;Franklin Natural Resources Fund A;    127,20;  127,18;2026-09-21
496729;Franklin Technology Fund A;    778,16;  778,04;2026-09-21
384107;Franklin U.S. Opportunities Fund A;    405,90;  405,84;2026-09-21
201111;GodFond Sverige & Världen;    633,02;  633,02;2026-09-22
992099;Goldman Sachs Asia Equity Income P;  22659,55;22656,10;2026-09-22
523050;Goldman Sachs Global Equity Impact Opportunities P;   6378,77; 6377,92;2026-09-22
401695;Goldman Sachs Global Social Impact Equity P;  22441,10;22437,68;2026-09-22
666370;Goldman Sachs Greater China Equity P;  20031,11;20028,05;2026-09-22
971010;Goldman Sachs Green Bond P;     88,27;   88,27;2026-09-22
929224;Handelsbanken  USA Index Criteria A1;   1235,30; 1235,30;2026-09-22
840033;Handelsbanken Amerika Tema A1;   2802,85; 2802,85;2026-09-22
504100;Handelsbanken Asien Tema A1;   1546,47; 1546,47;2026-09-22
