Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25850,49;25847,01;2026-09-08
848069;abrdn SICAV I - Future Global Equity Fund;    104,75;  104,74;2026-09-08
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    199,01;  198,95;2026-09-08
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,64;   76,61;2026-09-08
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,93;  317,89;2026-09-08
182584;Aktia Capital Placeringsfond B;     72,73;   72,72;2026-09-08
308908;Aktie-Ansvar Avkastningsfond A;    133,05;  133,05;2026-09-08
392241;Aktiespararna Småbolag Edge B;    115,17;  115,17;2026-09-08
290072;Aktiespararna Topp Sverige;     42,77;   42,77;2026-09-08
147348;Alfred Berg Aktiv R;   4420,23; 4418,53;2026-09-08
183178;Alfred Berg Norge C;   2534,75; 2533,77;2026-09-08
933359;Allianz China A-shares AT;    155,84;  155,82;2026-09-08
753731;Allianz China Equity A;    629,91;  629,81;2026-09-08
717900;Allianz Euro High Yield Bond A;   1258,60; 1258,43;2026-09-08
273839;Allianz Global Equity Growth AT;    119,90;  119,88;2026-09-08
502922;Allianz Global Metals and Mining A;   1211,37; 1211,21;2026-09-08
878694;Allianz Global Water AT;   1914,41; 1914,15;2026-09-08
309666;Allianz Pet and Animal Wellbeing AT;     67,34;   67,33;2026-09-08
823096;AMF Aktiefond Asien Stilla Havet;    470,11;  470,11;2026-09-08
538462;AMF Aktiefond Europa;    449,14;  449,14;2026-09-08
908277;AMF Aktiefond Global;    485,51;  485,51;2026-09-08
520692;AMF Aktiefond Nordamerika;    842,10;  842,10;2026-09-08
269357;AMF Aktiefond Småbolag;   1246,96; 1246,96;2026-09-08
681783;AMF Aktiefond Sverige;   1152,34; 1152,34;2026-09-08
645952;AMF Aktiefond Världen;    896,61;  896,61;2026-09-08
610121;AMF Balansfond;    486,44;  486,44;2026-09-08
305185;AMF Räntefond Kort;    125,23;  125,23;2026-09-08
574293;AMF Räntefond Lång;    160,29;  160,29;2026-09-08
265512;AMF Räntefond Mix;    117,16;  117,16;2026-09-08
791863;Amundi Funds Global Equity Conservative A2;   1489,31; 1489,07;2026-09-04
174490;Amundi Funds Japan Equity Value A2;   1812,96; 1812,37;2026-09-07
756031;Amundi Funds Latin America Equity A2;   7828,44; 7827,22;2026-09-07
720201;Amundi Funds SBI FM India Equity A2;   3669,21; 3668,64;2026-09-07
863522;Amundi Funds Volatility World A2;   1016,62; 1016,46;2026-09-07
581371;AP7 Aktiefond;    968,99;  968,99;2026-09-08
545541;AP7 Räntefond;    119,36;  119,36;2026-09-08
715955;Avanza Emerging Markets;    199,86;  199,86;2026-09-07
734491;Avanza Zero ;    573,27;  573,27;2026-09-08
477729;Baring Asia Growth A;   1904,18; 1903,88;2026-09-08
191080;Baring Global Emerging Markets A;    690,58;  690,47;2026-09-08
262741;Baring Global Resources A;    351,25;  351,19;2026-09-08
334409;Baring Hong Kong China A;  11970,89;11969,02;2026-09-08
235291;Baring Latin America A;    448,43;  448,36;2026-09-08
285990;BL - American Small & Mid Caps B;   2206,54; 2206,19;2026-09-04
551804;BL - Bond Dollar B;    906,76;  906,62;2026-09-07
153833;BL - Emerging Markets B;   2491,87; 2491,54;2026-09-07
300996;BL - Equities America B;   1191,31; 1191,13;2026-09-04
321828;BL - Equities Asia B;   1447,77; 1447,54;2026-09-07
118000;BL - Equities Dividend B;   2837,11; 2836,73;2026-09-07
142679;BL - Equities Japan B;   2174,34; 2173,64;2026-09-07
