Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25906,08;25902,59;2026-09-01
848069;abrdn SICAV I - Future Global Equity Fund;    105,52;  105,51;2026-09-01
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    198,65;  198,59;2026-09-01
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,69;   76,66;2026-09-01
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,21;  317,17;2026-09-01
182584;Aktia Capital Placeringsfond B;     71,81;   71,80;2026-09-01
308908;Aktie-Ansvar Avkastningsfond A;    132,97;  132,97;2026-09-01
392241;Aktiespararna Småbolag Edge B;    113,81;  113,81;2026-09-01
290072;Aktiespararna Topp Sverige;     42,07;   42,07;2026-09-01
147348;Alfred Berg Aktiv R;   4370,65; 4368,95;2026-09-01
183178;Alfred Berg Norge C;   2507,41; 2506,43;2026-09-01
933359;Allianz China A-shares AT;    157,18;  157,15;2026-09-01
753731;Allianz China Equity A;    630,00;  629,90;2026-09-01
717900;Allianz Euro High Yield Bond A;   1262,42; 1262,25;2026-09-01
273839;Allianz Global Equity Growth AT;    118,73;  118,71;2026-09-01
502922;Allianz Global Metals and Mining A;   1200,34; 1200,18;2026-09-01
878694;Allianz Global Water AT;   1918,77; 1918,51;2026-09-01
309666;Allianz Pet and Animal Wellbeing AT;     67,63;   67,62;2026-09-01
823096;AMF Aktiefond Asien Stilla Havet;    462,32;  462,32;2026-09-01
538462;AMF Aktiefond Europa;    445,01;  445,01;2026-09-01
908277;AMF Aktiefond Global;    479,37;  479,37;2026-09-01
520692;AMF Aktiefond Nordamerika;    831,61;  831,61;2026-09-01
269357;AMF Aktiefond Småbolag;   1241,23; 1241,23;2026-09-01
681783;AMF Aktiefond Sverige;   1144,97; 1144,97;2026-09-01
645952;AMF Aktiefond Världen;    888,03;  888,03;2026-09-01
610121;AMF Balansfond;    483,26;  483,26;2026-09-01
305185;AMF Räntefond Kort;    125,15;  125,15;2026-09-01
574293;AMF Räntefond Lång;    159,88;  159,88;2026-09-01
265512;AMF Räntefond Mix;    117,04;  117,04;2026-09-01
791863;Amundi Funds Global Equity Conservative A2;   1497,39; 1497,16;2026-08-31
174490;Amundi Funds Japan Equity Value A2;   1801,13; 1800,83;2026-08-31
756031;Amundi Funds Latin America Equity A2;   7544,06; 7542,88;2026-08-31
720201;Amundi Funds SBI FM India Equity A2;   3693,44; 3692,87;2026-08-31
863522;Amundi Funds Volatility World A2;   1019,34; 1019,18;2026-08-31
581371;AP7 Aktiefond;    960,08;  960,08;2026-09-01
545541;AP7 Räntefond;    119,16;  119,16;2026-09-01
715955;Avanza Emerging Markets;    195,56;  195,56;2026-08-31
734491;Avanza Zero ;    565,37;  565,37;2026-09-01
477729;Baring Asia Growth A;   1856,90; 1856,60;2026-09-01
191080;Baring Global Emerging Markets A;    674,95;  674,84;2026-09-01
262741;Baring Global Resources A;    347,69;  347,63;2026-09-01
334409;Baring Hong Kong China A;  12002,87;12000,99;2026-09-01
235291;Baring Latin America A;    434,11;  434,04;2026-09-01
285990;BL - American Small & Mid Caps B;   2242,97; 2242,62;2026-08-31
551804;BL - Bond Dollar B;    906,30;  906,16;2026-08-31
153833;BL - Emerging Markets B;   2451,15; 2450,82;2026-08-31
300996;BL - Equities America B;   1200,12; 1199,93;2026-08-31
321828;BL - Equities Asia B;   1430,03; 1429,81;2026-08-31
118000;BL - Equities Dividend B;   2881,05; 2880,66;2026-08-31
142679;BL - Equities Japan B;   2176,89; 2176,52;2026-08-31
480145;BL - Global 30 B;   1385,95; 1385,77;2026-08-31
444315;BL - Global 50 B;   1480,63; 1480,44;2026-08-31
408484;BL - Global 75 B;   1536,60; 1536,39;2026-08-31
515973;BL - Global Bond Opportunities B;   1084,11; 1083,96;2026-08-31
320358;BL - Global Equities B;   1492,76; 1492,56;2026-08-31
647669;BL - Global Flexible B;   2813,96; 2813,58;2026-08-31
214338;BL - Global Flexible USD B;   2005,10; 2004,78;2026-08-31
608463;BlackRock - Asian Dragon Fund A2;    711,97;  711,86;2026-09-01
391896;BlackRock - China A2;    187,80;  187,77;2026-09-01
231100;BlackRock - Emerging Markets A2;    560,43;  560,34;2026-09-01
302760;BlackRock - Global Allocation A2;    950,12;  949,98;2026-09-01
572637;BlackRock - Global High Yield Bond Fund A2;    328,99;  328,93;2026-09-01
768499;BlackRock - India A2;    499,14;  499,06;2026-09-01
159442;BlackRock - Japan Small & MidCap A2;   1069,92; 1069,75;2026-09-01
661066;BlackRock - Latin American A2;    784,10;  783,97;2026-09-01
536806;BlackRock - Natural Resources Growth & Income Fund A2;    189,62;  189,59;2026-09-01
553578;BlackRock - Sustainable Energy A2;    221,27;  221,24;2026-09-01
768556;BlackRock - US Basic Value A2;   1715,81; 1715,54;2026-09-01
804385;BlackRock - US Flexible Equity A2;    965,09;  964,94;2026-09-01
625236;BlackRock - US Mid-Cap Value Fund A2;   4545,27; 4544,56;2026-09-01
517748;BlackRock - World Energy A2;    361,40;  361,35;2026-09-01
