Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25846,77;25843,28;2026-09-04
848069;abrdn SICAV I - Future Global Equity Fund;    104,36;  104,35;2026-09-04
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    196,51;  196,45;2026-09-04
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,22;   76,19;2026-09-04
900894;abrdn SICAV I - Select Euro High Yield Bond A;    315,09;  315,05;2026-09-04
182584;Aktia Capital Placeringsfond B;     71,76;   71,75;2026-09-04
308908;Aktie-Ansvar Avkastningsfond A;    132,99;  132,99;2026-09-04
392241;Aktiespararna Småbolag Edge B;    115,19;  115,19;2026-09-04
290072;Aktiespararna Topp Sverige;     42,38;   42,38;2026-09-04
147348;Alfred Berg Aktiv R;   4366,15; 4364,45;2026-09-04
183178;Alfred Berg Norge C;   2503,50; 2502,52;2026-09-04
933359;Allianz China A-shares AT;    153,85;  153,82;2026-09-04
753731;Allianz China Equity A;    630,53;  630,43;2026-09-04
717900;Allianz Euro High Yield Bond A;   1251,53; 1251,36;2026-09-04
273839;Allianz Global Equity Growth AT;    118,71;  118,70;2026-09-04
502922;Allianz Global Metals and Mining A;   1208,16; 1208,00;2026-09-04
878694;Allianz Global Water AT;   1903,58; 1903,33;2026-09-04
309666;Allianz Pet and Animal Wellbeing AT;     67,13;   67,12;2026-09-04
823096;AMF Aktiefond Asien Stilla Havet;    464,10;  464,10;2026-09-04
538462;AMF Aktiefond Europa;    445,35;  445,35;2026-09-04
908277;AMF Aktiefond Global;    485,12;  485,12;2026-09-04
520692;AMF Aktiefond Nordamerika;    844,80;  844,80;2026-09-04
269357;AMF Aktiefond Småbolag;   1246,97; 1246,97;2026-09-04
681783;AMF Aktiefond Sverige;   1147,29; 1147,29;2026-09-04
645952;AMF Aktiefond Världen;    894,23;  894,23;2026-09-04
610121;AMF Balansfond;    485,34;  485,34;2026-09-04
305185;AMF Räntefond Kort;    125,19;  125,19;2026-09-04
574293;AMF Räntefond Lång;    160,16;  160,16;2026-09-04
265512;AMF Räntefond Mix;    117,23;  117,23;2026-09-04
791863;Amundi Funds Global Equity Conservative A2;   1509,01; 1508,78;2026-09-03
174490;Amundi Funds Japan Equity Value A2;   1800,20; 1799,61;2026-09-03
756031;Amundi Funds Latin America Equity A2;   7881,67; 7880,44;2026-09-03
720201;Amundi Funds SBI FM India Equity A2;   3688,74; 3688,17;2026-09-03
863522;Amundi Funds Volatility World A2;   1015,10; 1014,94;2026-09-03
581371;AP7 Aktiefond;    969,59;  969,59;2026-09-04
545541;AP7 Räntefond;    119,29;  119,29;2026-09-04
715955;Avanza Emerging Markets;    193,27;  193,27;2026-09-03
734491;Avanza Zero ;    568,42;  568,42;2026-09-04
477729;Baring Asia Growth A;   1861,90; 1861,61;2026-09-04
191080;Baring Global Emerging Markets A;    676,88;  676,77;2026-09-04
262741;Baring Global Resources A;    349,60;  349,55;2026-09-04
334409;Baring Hong Kong China A;  11983,72;11981,84;2026-09-04
