Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25351,27;25347,85;2026-09-09
848069;abrdn SICAV I - Future Global Equity Fund;    103,70;  103,69;2026-09-09
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    198,97;  198,91;2026-09-09
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,27;   76,25;2026-09-09
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,27;  317,23;2026-09-09
182584;Aktia Capital Placeringsfond B;     73,04;   73,03;2026-09-09
308908;Aktie-Ansvar Avkastningsfond A;    133,04;  133,04;2026-09-09
392241;Aktiespararna Småbolag Edge B;    114,45;  114,45;2026-09-09
290072;Aktiespararna Topp Sverige;     42,06;   42,06;2026-09-09
147348;Alfred Berg Aktiv R;   4470,27; 4468,55;2026-09-09
183178;Alfred Berg Norge C;   2560,01; 2559,02;2026-09-09
933359;Allianz China A-shares AT;    156,11;  156,09;2026-09-09
753731;Allianz China Equity A;    628,75;  628,65;2026-09-09
717900;Allianz Euro High Yield Bond A;   1255,82; 1255,65;2026-09-09
273839;Allianz Global Equity Growth AT;    118,43;  118,41;2026-09-09
502922;Allianz Global Metals and Mining A;   1222,38; 1222,22;2026-09-09
878694;Allianz Global Water AT;   1907,59; 1907,33;2026-09-09
309666;Allianz Pet and Animal Wellbeing AT;     66,08;   66,07;2026-09-09
823096;AMF Aktiefond Asien Stilla Havet;    469,44;  469,44;2026-09-09
538462;AMF Aktiefond Europa;    442,40;  442,40;2026-09-09
908277;AMF Aktiefond Global;    480,54;  480,54;2026-09-09
520692;AMF Aktiefond Nordamerika;    834,67;  834,67;2026-09-09
269357;AMF Aktiefond Småbolag;   1242,61; 1242,61;2026-09-09
681783;AMF Aktiefond Sverige;   1141,75; 1141,75;2026-09-09
645952;AMF Aktiefond Världen;    887,70;  887,70;2026-09-09
610121;AMF Balansfond;    482,79;  482,79;2026-09-09
305185;AMF Räntefond Kort;    125,21;  125,21;2026-09-09
574293;AMF Räntefond Lång;    159,86;  159,86;2026-09-09
265512;AMF Räntefond Mix;    116,86;  116,86;2026-09-09
791863;Amundi Funds Global Equity Conservative A2;   1488,72; 1488,49;2026-09-08
174490;Amundi Funds Japan Equity Value A2;   1792,71; 1792,14;2026-09-08
756031;Amundi Funds Latin America Equity A2;   7956,72; 7955,48;2026-09-08
720201;Amundi Funds SBI FM India Equity A2;   3649,75; 3649,18;2026-09-08
863522;Amundi Funds Volatility World A2;   1020,20; 1020,04;2026-09-08
581371;AP7 Aktiefond;    962,43;  962,43;2026-09-09
545541;AP7 Räntefond;    119,14;  119,14;2026-09-09
715955;Avanza Emerging Markets;    197,61;  197,61;2026-09-08
734491;Avanza Zero ;    564,16;  564,16;2026-09-09
477729;Baring Asia Growth A;   1890,94; 1890,65;2026-09-09
191080;Baring Global Emerging Markets A;    684,11;  684,00;2026-09-09
262741;Baring Global Resources A;    352,25;  352,20;2026-09-09
334409;Baring Hong Kong China A;  11860,24;11858,38;2026-09-09
235291;Baring Latin America A;    441,99;  441,92;2026-09-09
