Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
584912;Carnegie Småbolagsfond A;    844,45;  844,45;2026-08-31
357483;Carnegie Strategifond A;   2619,88; 2619,88;2026-08-31
393314;Carnegie Sverigefond A;   6170,49; 6170,49;2026-08-31
976506;CB Save Earth Fund RC;    287,53;  287,49;2026-08-28
384750;Cicero Avkastning A;    143,91;  143,91;2026-08-31
959502;Cicero Hållbar Mix A;    209,79;  209,79;2026-08-31
356410;Cliens Småbolag ;   3249,06; 3249,06;2026-08-31
423822;Cliens Sverige;   1115,48; 1115,48;2026-08-31
386870;Coeli High Yield Opportunities;    130,22;  130,22;2026-08-31
330324;CPR Invest Global Gold Mines A2;   2428,38; 2427,99;2026-08-28
366154;CPR Invest Global Lifestyles A2;   1176,39; 1176,20;2026-08-28
291906;D&G Aktiefond;   4865,79; 4865,79;2026-08-31
541235;D&G Global All Cap;    457,02;  457,02;2026-08-31
140491;D&G Småbolag;   1236,78; 1236,78;2026-08-31
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4718,55; 4718,55;2026-08-31
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    166,38;  166,38;2026-08-28
571399;Danske Invest SICAV - Europe Small Cap A;    191,89;  191,89;2026-08-28
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1350,93; 1350,93;2026-08-31
901603;Danske Invest SICAV - Sverige Ränta SI;   1186,76; 1186,76;2026-08-31
463901;Danske Invest SICAV Sverige Småbolag Class SI;    222,22;  222,22;2026-08-28
184580;Delphi Global A2;   2670,02; 2670,02;2026-08-28
326660;DNB Global Emerging Markets S;    170,15;  170,15;2026-08-28
255001;DNB Health Care S;    183,77;  183,77;2026-08-28
290833;DNB SMB S;    186,20;  186,20;2026-08-28
183343;DNB Teknologi S;    273,49;  273,49;2026-08-28
623637;East Capital Global Emerging Markets Sustainable A;    399,40;  399,40;2026-08-31
870907;East Capital Global Frontier Markets A;    314,34;  314,34;2026-08-28
664482;Evli Corporate Bond Placeringsfonden B ;   1471,55; 1471,55;2026-08-28
229625;Evli Emerging Markets Credit Placeringsfonden B;   1383,69; 1383,50;2026-08-28
570044;Evli Finland Select Placeringsfonden B;    889,14;  889,01;2026-08-28
367987;Evli GEM Placeringsfonden B;   2855,94; 2855,55;2026-08-28
793109;Evli Global Placeringsfonden B;   4697,23; 4697,23;2026-08-28
700310;Evli High Yield Placeringsfonden B;   1970,96; 1970,96;2026-08-27
574582;Evli Likviditet Placeringsfonden B;   1209,48; 1209,48;2026-08-28
621631;Evli Short Corporate Bond Placeringsfonden B;    372,01;  371,96;2026-08-28
420463;Evli Sverige Småbolag;   8439,03; 8439,03;2026-08-28
850776;Fidelity - America Fund A;    505,45;  505,38;2026-08-31
994095;Fidelity - Asian Pacific Opportunities Fund A;    383,95;  383,90;2026-08-31
922435;Fidelity - Asian Special Situations Fund A;    809,74;  809,63;2026-08-31
886606;Fidelity - China Consumer  Fund A;    198,04;  198,01;2026-08-31
958264;Fidelity - China Focus Fund A;    119,75;  119,73;2026-08-31
313320;Fidelity - Emerging Asia Fund A;    524,36;  524,29;2026-08-31
349150;Fidelity - Emerging Markets Funds A;    293,28;  293,24;2026-08-31
277491;Fidelity - Global High  Yield Fund A;    173,68;  173,65;2026-08-31
976928;Folksam LO Sverige;    764,46;  764,46;2026-08-31
941096;Folksam LO Världen;    459,93;  459,93;2026-08-31
202002;Fondita Global Megatrends Placeringsfond B;   1520,19; 1519,98;2026-08-31
237834;Fondita Nordic Small Cap Placeringsfond B;   2345,11; 2344,79;2026-08-31
389239;Franklin Biotechnology Discovery Fund;    684,45;  684,34;2026-08-28
170894;Franklin India Fund A ;    586,96;  586,86;2026-08-28
717496;Franklin Mutual Global Discovery Fund A;    332,18;  332,13;2026-08-28
532558;Franklin Natural Resources Fund A;    126,53;  126,51;2026-08-28
496729;Franklin Technology Fund A;    712,92;  712,81;2026-08-28
384107;Franklin U.S. Opportunities Fund A;    381,97;  381,91;2026-08-28
201111;GodFond Sverige & Världen;    621,86;  621,86;2026-08-31
992099;Goldman Sachs Asia Equity Income P;  21699,11;21695,71;2026-08-31
523050;Goldman Sachs Global Equity Impact Opportunities P;   6258,54; 6257,70;2026-08-31
401695;Goldman Sachs Global Social Impact Equity P;  22133,21;22129,75;2026-08-31
666370;Goldman Sachs Greater China Equity P;  19265,09;19262,07;2026-08-31
971010;Goldman Sachs Green Bond P;     89,21;   89,21;2026-08-31
929224;Handelsbanken  USA Index Criteria A1;   1183,06; 1183,06;2026-08-31
840033;Handelsbanken Amerika Tema A1;   2701,27; 2701,27;2026-08-31
504100;Handelsbanken Asien Tema A1;   1472,77; 1472,77;2026-08-31
491233;Handelsbanken Developed Markets Index Criteria A1;    154,26;  154,26;2026-08-31
750075;Handelsbanken Emerging Markets Index A1;    317,90;  317,90;2026-08-31
629543;Handelsbanken Europa Index Criteria A1;    266,49;  266,49;2026-08-31
785907;Handelsbanken Global Index Criteria A1;    711,77;  711,77;2026-08-31
549552;Handelsbanken Global Småbolag Index Criteria A1;    229,93;  229,93;2026-08-31
123679;Handelsbanken Global Tema A1;   1122,57; 1122,57;2026-08-31
644005;Handelsbanken Hälsovård Tema A1;    454,48;  454,48;2026-08-31
687509;Handelsbanken Hållbar Energi A1;    373,45;  373,45;2026-08-31
718205;Handelsbanken Kortränta A1;    164,07;  164,07;2026-08-31
524702;Handelsbanken Långränta A1;    112,53;  112,53;2026-08-31
674630;Handelsbanken Norden Selektiv (A1 SEK);    845,12;  845,12;2026-08-31
751495;Handelsbanken Nordiska Småbolag A1;   1901,05; 1901,05;2026-08-31
167114;Handelsbanken Pension 40 A12;    181,22;  181,22;2026-08-28
314682;Handelsbanken Pension 50 A12;    253,13;  253,13;2026-08-28
350512;Handelsbanken Pension 60 A12;    423,42;  423,42;2026-08-28
278853;Handelsbanken Pension 70 A12;    536,40;  536,40;2026-08-28
243022;Handelsbanken Pension 80 A12;    535,84;  535,84;2026-08-28
952010;Handelsbanken Svenska Småbolag A1;   2556,23; 2556,23;2026-08-31
465914;Handelsbanken Sverige 100 Index Criteria A1;    557,85;  557,85;2026-08-31
638809;Handelsbanken Sverige Index Criteria (A1 SEK);    613,02;  613,02;2026-08-31
602979;Handelsbanken Sverige LM Index (A1 SEK);    126,09;  126,09;2026-08-31
459652;Handelsbanken Sverige Selektiv (A1 SEK);   1030,63; 1030,63;2026-08-31
987842;Handelsbanken Tillväxtmarknad Tema A1;    642,05;  642,05;2026-08-31
500976;HealthInvest Small & Mid Cap Healthcare;    184,65;  184,65;2026-08-28
282632;Holberg Global A;    665,34;  665,08;2026-08-31
