Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25448,62;25445,22;2026-09-11
848069;abrdn SICAV I - Future Global Equity Fund;    103,33;  103,31;2026-09-11
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    197,86;  197,83;2026-09-11
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     75,80;   75,79;2026-09-11
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,91;  317,86;2026-09-11
182584;Aktia Capital Placeringsfond B;     73,35;   73,34;2026-09-11
308908;Aktie-Ansvar Avkastningsfond A;    133,06;  133,06;2026-09-11
392241;Aktiespararna Småbolag Edge B;    114,39;  114,39;2026-09-11
290072;Aktiespararna Topp Sverige;     41,99;   41,99;2026-09-11
147348;Alfred Berg Aktiv R;   4475,97; 4474,25;2026-09-11
183178;Alfred Berg Norge C;   2556,77; 2555,79;2026-09-11
933359;Allianz China A-shares AT;    155,30;  155,27;2026-09-11
753731;Allianz China Equity A;    622,65;  622,55;2026-09-11
717900;Allianz Euro High Yield Bond A;   1258,18; 1258,01;2026-09-11
273839;Allianz Global Equity Growth AT;    117,64;  117,63;2026-09-11
502922;Allianz Global Metals and Mining A;   1182,49; 1182,34;2026-09-11
878694;Allianz Global Water AT;   1883,28; 1883,03;2026-09-11
309666;Allianz Pet and Animal Wellbeing AT;     65,42;   65,41;2026-09-11
823096;AMF Aktiefond Asien Stilla Havet;    467,77;  467,77;2026-09-11
538462;AMF Aktiefond Europa;    445,50;  445,50;2026-09-11
908277;AMF Aktiefond Global;    485,92;  485,92;2026-09-11
520692;AMF Aktiefond Nordamerika;    846,30;  846,30;2026-09-11
269357;AMF Aktiefond Småbolag;   1232,95; 1232,95;2026-09-11
681783;AMF Aktiefond Sverige;   1133,94; 1133,94;2026-09-11
645952;AMF Aktiefond Världen;    890,61;  890,61;2026-09-11
610121;AMF Balansfond;    482,02;  482,02;2026-09-11
305185;AMF Räntefond Kort;    125,18;  125,18;2026-09-11
574293;AMF Räntefond Lång;    159,16;  159,16;2026-09-11
265512;AMF Räntefond Mix;    116,12;  116,12;2026-09-11
791863;Amundi Funds Global Equity Conservative A2;   1471,14; 1470,91;2026-09-10
174490;Amundi Funds Japan Equity Value A2;   1790,88; 1790,59;2026-09-10
756031;Amundi Funds Latin America Equity A2;   7916,31; 7915,07;2026-09-10
720201;Amundi Funds SBI FM India Equity A2;   3598,98; 3598,41;2026-09-10
863522;Amundi Funds Volatility World A2;   1023,50; 1023,34;2026-09-10
581371;AP7 Aktiefond;    970,15;  970,15;2026-09-11
545541;AP7 Räntefond;    118,74;  118,74;2026-09-11
715955;Avanza Emerging Markets;    200,02;  200,02;2026-09-10
734491;Avanza Zero ;    563,36;  563,36;2026-09-11
477729;Baring Asia Growth A;   1879,10; 1878,80;2026-09-11
191080;Baring Global Emerging Markets A;    679,69;  679,59;2026-09-11
262741;Baring Global Resources A;    352,28;  352,22;2026-09-11
334409;Baring Hong Kong China A;  11776,10;11774,27;2026-09-11
235291;Baring Latin America A;    442,81;  442,74;2026-09-11
285990;BL - American Small & Mid Caps B;   2127,74; 2127,41;2026-09-10
551804;BL - Bond Dollar B;    897,59;  897,45;2026-09-10
153833;BL - Emerging Markets B;   2458,30; 2457,97;2026-09-10
300996;BL - Equities America B;   1172,42; 1172,24;2026-09-10
321828;BL - Equities Asia B;   1419,07; 1418,85;2026-09-10
118000;BL - Equities Dividend B;   2782,19; 2781,82;2026-09-10
142679;BL - Equities Japan B;   2145,25; 2144,91;2026-09-10
480145;BL - Global 30 B;   1371,56; 1371,38;2026-09-10
444315;BL - Global 50 B;   1461,63; 1461,44;2026-09-10
408484;BL - Global 75 B;   1511,63; 1511,43;2026-09-10
515973;BL - Global Bond Opportunities B;   1079,26; 1079,11;2026-09-10
320358;BL - Global Equities B;   1463,75; 1463,56;2026-09-10
647669;BL - Global Flexible B;   2751,61; 2751,24;2026-09-10
214338;BL - Global Flexible USD B;   1958,96; 1958,66;2026-09-10
608463;BlackRock - Asian Dragon Fund A2;    725,74;  725,62;2026-09-11
391896;BlackRock - China A2;    185,91;  185,88;2026-09-11
231100;BlackRock - Emerging Markets A2;    570,01;  569,92;2026-09-11
302760;BlackRock - Global Allocation A2;    962,81;  962,66;2026-09-11
572637;BlackRock - Global High Yield Bond Fund A2;    330,13;  330,07;2026-09-11
768499;BlackRock - India A2;    493,58;  493,50;2026-09-10
159442;BlackRock - Japan Small & MidCap A2;   1090,39; 1090,22;2026-09-11
661066;BlackRock - Latin American A2;    817,43;  817,30;2026-09-11
536806;BlackRock - Natural Resources Growth & Income Fund A2;    193,65;  193,62;2026-09-11
553578;BlackRock - Sustainable Energy A2;    225,57;  225,53;2026-09-11
768556;BlackRock - US Basic Value A2;   1727,24; 1726,97;2026-09-11
804385;BlackRock - US Flexible Equity A2;    986,80;  986,65;2026-09-11
625236;BlackRock - US Mid-Cap Value Fund A2;   4533,06; 4532,36;2026-09-11
517748;BlackRock - World Energy A2;    370,17;  370,11;2026-09-11
410258;BlackRock - World Financials A2;    797,41;  797,29;2026-09-11
338590;BlackRock - World Gold A2;   1102,29; 1102,12;2026-09-11
374421;BlackRock - World Healthscience A2;    747,40;  747,29;2026-09-11
481911;BlackRock - World Mining A2;   1139,24; 1139,06;2026-09-11
644294;BlackRock - World Real Estate Securities Fund A2;    167,92;  167,89;2026-09-11
446088;BlackRock - World Technology A2;   1426,81; 1426,58;2026-09-11
422709;BMC Global Select fund;    415,64;  415,64;2026-09-11
408062;C WorldWide Asia 1A;   3315,96; 3315,45;2026-09-11
515554;C WorldWide Global Equities 1A;   2327,03; 2326,67;2026-09-11
479725;C WorldWide Global Equities Ethical 1A;    418,72;  418,66;2026-09-11
443895;C WorldWide Healthcare Select 1A;   1592,12; 1591,90;2026-09-11
721035;C WorldWide Sweden Small Cap 1A;    778,06;  778,06;2026-09-11
320176;Carnegie Fastighetsfond Norden A;    440,66;  440,66;2026-09-11
505586;Carnegie Indienfond A;    713,88;  713,88;2026-09-11
214163;Carnegie Likviditetsfond A;   1371,65; 1371,65;2026-09-11
341362;Carnegie Listed Private Equity A;    705,50;  705,50;2026-09-11
554691;Carnegie Obligationsfond A;    982,21;  982,21;2026-09-11
584912;Carnegie Småbolagsfond A;    834,12;  834,12;2026-09-11
357483;Carnegie Strategifond A;   2589,08; 2589,08;2026-09-11
393314;Carnegie Sverigefond A;   6042,30; 6042,30;2026-09-11
976506;CB Save Earth Fund RC;    283,49;  283,45;2026-09-10
384750;Cicero Avkastning A;    143,88;  143,88;2026-09-11
959502;Cicero Hållbar Mix A;    209,45;  209,45;2026-09-11
356410;Cliens Småbolag ;   3192,19; 3192,19;2026-09-11
423822;Cliens Sverige;   1094,08; 1094,08;2026-09-11
386870;Coeli High Yield Opportunities;    130,02;  130,02;2026-09-11
330324;CPR Invest Global Gold Mines A2;   2419,61; 2419,23;2026-09-09
366154;CPR Invest Global Lifestyles A2;   1164,98; 1164,80;2026-09-09
291906;D&G Aktiefond;   4746,95; 4746,95;2026-09-11
541235;D&G Global All Cap;    449,40;  449,40;2026-09-11
140491;D&G Småbolag;   1223,87; 1223,87;2026-09-11
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4652,84; 4652,84;2026-09-11
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    164,52;  164,52;2026-09-10
571399;Danske Invest SICAV - Europe Small Cap A;    185,37;  185,37;2026-09-10
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1349,54; 1349,54;2026-09-11
901603;Danske Invest SICAV - Sverige Ränta SI;   1179,54; 1179,54;2026-09-11
463901;Danske Invest SICAV Sverige Småbolag Class SI;    215,66;  215,66;2026-09-10
184580;Delphi Global A2;   2667,20; 2667,20;2026-09-10
326660;DNB Global Emerging Markets S;    171,18;  171,18;2026-09-10
255001;DNB Health Care S;    180,13;  180,13;2026-09-10
290833;DNB SMB S;    189,72;  189,72;2026-09-10
183343;DNB Teknologi S;    270,11;  270,11;2026-09-10
623637;East Capital Global Emerging Markets Sustainable A;    405,80;  405,80;2026-09-11
870907;East Capital Global Frontier Markets A;    313,71;  313,71;2026-09-11
664482;Evli Corporate Bond Placeringsfonden B ;   1454,31; 1454,31;2026-09-10
229625;Evli Emerging Markets Credit Placeringsfonden B;   1384,09; 1383,90;2026-09-10
570044;Evli Finland Select Placeringsfonden B;    896,78;  896,66;2026-09-10
367987;Evli GEM Placeringsfonden B;   2851,50; 2851,12;2026-09-10
793109;Evli Global Placeringsfonden B;   4491,47; 4491,47;2026-09-10
700310;Evli High Yield Placeringsfonden B;   1954,25; 1954,25;2026-09-10
574582;Evli Likviditet Placeringsfonden B;   1209,03; 1209,03;2026-09-10
621631;Evli Short Corporate Bond Placeringsfonden B;    372,32;  372,27;2026-09-10
420463;Evli Sverige Småbolag;   8237,47; 8237,47;2026-09-10
850776;Fidelity - America Fund A;    502,60;  502,53;2026-09-11
994095;Fidelity - Asian Pacific Opportunities Fund A;    379,31;  379,25;2026-09-11
922435;Fidelity - Asian Special Situations Fund A;    827,33;  827,22;2026-09-11
886606;Fidelity - China Consumer  Fund A;    190,33;  190,30;2026-09-11
958264;Fidelity - China Focus Fund A;    117,43;  117,41;2026-09-11
313320;Fidelity - Emerging Asia Fund A;    532,69;  532,62;2026-09-11
349150;Fidelity - Emerging Markets Funds A;    300,26;  300,22;2026-09-11
277491;Fidelity - Global High  Yield Fund A;    174,30;  174,27;2026-09-11
976928;Folksam LO Sverige;    766,62;  766,62;2026-09-08
941096;Folksam LO Världen;    457,42;  457,42;2026-09-11
202002;Fondita Global Megatrends Placeringsfond B;   1520,36; 1520,16;2026-09-11
