Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25878,86;25875,38;2026-09-07
848069;abrdn SICAV I - Future Global Equity Fund;    104,36;  104,35;2026-09-04
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    200,25;  200,18;2026-09-07
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     77,47;   77,44;2026-09-07
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,84;  317,80;2026-09-07
182584;Aktia Capital Placeringsfond B;     72,50;   72,49;2026-09-07
308908;Aktie-Ansvar Avkastningsfond A;    133,02;  133,02;2026-09-07
392241;Aktiespararna Småbolag Edge B;    115,93;  115,93;2026-09-07
290072;Aktiespararna Topp Sverige;     42,50;   42,50;2026-09-07
147348;Alfred Berg Aktiv R;   4384,35; 4382,65;2026-09-07
183178;Alfred Berg Norge C;   2514,93; 2513,96;2026-09-07
933359;Allianz China A-shares AT;    156,79;  156,76;2026-09-07
753731;Allianz China Equity A;    631,44;  631,35;2026-09-07
717900;Allianz Euro High Yield Bond A;   1258,60; 1258,43;2026-09-07
273839;Allianz Global Equity Growth AT;    118,71;  118,70;2026-09-04
502922;Allianz Global Metals and Mining A;   1209,29; 1209,13;2026-09-07
878694;Allianz Global Water AT;   1903,58; 1903,33;2026-09-04
309666;Allianz Pet and Animal Wellbeing AT;     67,13;   67,12;2026-09-04
823096;AMF Aktiefond Asien Stilla Havet;    473,51;  473,51;2026-09-07
538462;AMF Aktiefond Europa;    448,60;  448,60;2026-09-07
908277;AMF Aktiefond Global;    485,12;  485,12;2026-09-04
520692;AMF Aktiefond Nordamerika;    844,80;  844,80;2026-09-04
269357;AMF Aktiefond Småbolag;   1249,97; 1249,97;2026-09-07
681783;AMF Aktiefond Sverige;   1150,51; 1150,51;2026-09-07
645952;AMF Aktiefond Världen;    897,33;  897,33;2026-09-07
610121;AMF Balansfond;    486,45;  486,45;2026-09-07
305185;AMF Räntefond Kort;    125,22;  125,22;2026-09-07
574293;AMF Räntefond Lång;    160,21;  160,21;2026-09-07
265512;AMF Räntefond Mix;    117,15;  117,15;2026-09-07
791863;Amundi Funds Global Equity Conservative A2;   1509,01; 1508,78;2026-09-03
174490;Amundi Funds Japan Equity Value A2;   1791,35; 1790,77;2026-09-04
756031;Amundi Funds Latin America Equity A2;   7782,88; 7781,66;2026-09-04
720201;Amundi Funds SBI FM India Equity A2;   3664,75; 3664,17;2026-09-04
863522;Amundi Funds Volatility World A2;   1008,55; 1008,39;2026-09-04
581371;AP7 Aktiefond;    976,07;  976,07;2026-09-07
545541;AP7 Räntefond;    119,37;  119,37;2026-09-07
715955;Avanza Emerging Markets;    196,03;  196,03;2026-09-04
734491;Avanza Zero ;    569,90;  569,90;2026-09-07
477729;Baring Asia Growth A;   1916,37; 1916,07;2026-09-07
191080;Baring Global Emerging Markets A;    695,61;  695,50;2026-09-07
262741;Baring Global Resources A;    350,68;  350,63;2026-09-07
334409;Baring Hong Kong China A;  12035,01;12033,13;2026-09-07
235291;Baring Latin America A;    439,99;  439,92;2026-09-07
285990;BL - American Small & Mid Caps B;   2206,54; 2206,19;2026-09-04
551804;BL - Bond Dollar B;    900,57;  900,43;2026-09-04
153833;BL - Emerging Markets B;   2448,60; 2448,27;2026-09-04
300996;BL - Equities America B;   1191,31; 1191,13;2026-09-04
321828;BL - Equities Asia B;   1419,48; 1419,26;2026-09-04
118000;BL - Equities Dividend B;   2825,15; 2824,77;2026-09-04
142679;BL - Equities Japan B;   2148,74; 2148,04;2026-09-04
480145;BL - Global 30 B;   1378,64; 1378,45;2026-09-04
444315;BL - Global 50 B;   1472,69; 1472,49;2026-09-04
408484;BL - Global 75 B;   1529,03; 1528,83;2026-09-04
515973;BL - Global Bond Opportunities B;   1081,61; 1081,47;2026-09-04
320358;BL - Global Equities B;   1478,12; 1477,92;2026-09-04
647669;BL - Global Flexible B;   2792,54; 2792,16;2026-09-04
214338;BL - Global Flexible USD B;   1973,79; 1973,48;2026-09-04
608463;BlackRock - Asian Dragon Fund A2;    730,37;  730,25;2026-09-07
391896;BlackRock - China A2;    188,02;  187,99;2026-09-07
231100;BlackRock - Emerging Markets A2;    574,52;  574,43;2026-09-07
302760;BlackRock - Global Allocation A2;    963,42;  963,27;2026-09-07
572637;BlackRock - Global High Yield Bond Fund A2;    329,65;  329,60;2026-09-07
768499;BlackRock - India A2;    501,63;  501,56;2026-09-07
159442;BlackRock - Japan Small & MidCap A2;   1102,46; 1102,29;2026-09-07
661066;BlackRock - Latin American A2;    804,59;  804,47;2026-09-07
536806;BlackRock - Natural Resources Growth & Income Fund A2;    191,86;  191,83;2026-09-07
553578;BlackRock - Sustainable Energy A2;    226,33;  226,30;2026-09-07
768556;BlackRock - US Basic Value A2;   1729,70; 1729,43;2026-09-07
804385;BlackRock - US Flexible Equity A2;    986,85;  986,69;2026-09-07
625236;BlackRock - US Mid-Cap Value Fund A2;   4588,75; 4588,03;2026-09-07
517748;BlackRock - World Energy A2;    362,11;  362,05;2026-09-07
410258;BlackRock - World Financials A2;    806,32;  806,20;2026-09-07
338590;BlackRock - World Gold A2;   1101,79; 1101,62;2026-09-07
374421;BlackRock - World Healthscience A2;    767,14;  767,02;2026-09-07
481911;BlackRock - World Mining A2;   1148,56; 1148,38;2026-09-07
644294;BlackRock - World Real Estate Securities Fund A2;    169,48;  169,46;2026-09-07
446088;BlackRock - World Technology A2;   1415,02; 1414,80;2026-09-07
422709;BMC Global Select fund;    417,05;  417,05;2026-09-07
408062;C WorldWide Asia 1A;   3353,67; 3353,15;2026-09-07
515554;C WorldWide Global Equities 1A;   2354,53; 2354,17;2026-09-07
479725;C WorldWide Global Equities Ethical 1A;    421,99;  421,93;2026-09-07
443895;C WorldWide Healthcare Select 1A;   1635,07; 1634,85;2026-09-07
721035;C WorldWide Sweden Small Cap 1A;    795,01;  795,01;2026-09-07
320176;Carnegie Fastighetsfond Norden A;    453,81;  453,81;2026-09-07
505586;Carnegie Indienfond A;    722,80;  722,80;2026-09-07
214163;Carnegie Likviditetsfond A;   1371,61; 1371,61;2026-09-07
341362;Carnegie Listed Private Equity A;    723,33;  723,33;2026-09-07
554691;Carnegie Obligationsfond A;    990,43;  990,43;2026-09-07
584912;Carnegie Småbolagsfond A;    849,47;  849,47;2026-09-07
357483;Carnegie Strategifond A;   2614,22; 2614,22;2026-09-07
393314;Carnegie Sverigefond A;   6138,20; 6138,20;2026-09-07
