Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25871,85;25868,37;2026-09-03
848069;abrdn SICAV I - Future Global Equity Fund;    104,06;  104,05;2026-09-03
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    196,98;  196,92;2026-09-03
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,28;   76,26;2026-09-03
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,14;  317,10;2026-09-03
182584;Aktia Capital Placeringsfond B;     71,58;   71,57;2026-09-03
308908;Aktie-Ansvar Avkastningsfond A;    132,99;  132,99;2026-09-03
392241;Aktiespararna Småbolag Edge B;    115,17;  115,17;2026-09-03
290072;Aktiespararna Topp Sverige;     42,25;   42,25;2026-09-03
147348;Alfred Berg Aktiv R;   4375,99; 4374,29;2026-09-03
183178;Alfred Berg Norge C;   2507,57; 2506,60;2026-09-03
933359;Allianz China A-shares AT;    155,73;  155,70;2026-09-03
753731;Allianz China Equity A;    626,13;  626,03;2026-09-03
717900;Allianz Euro High Yield Bond A;   1256,57; 1256,40;2026-09-03
273839;Allianz Global Equity Growth AT;    118,22;  118,20;2026-09-03
502922;Allianz Global Metals and Mining A;   1194,19; 1194,03;2026-09-03
878694;Allianz Global Water AT;   1902,68; 1902,42;2026-09-03
309666;Allianz Pet and Animal Wellbeing AT;     67,75;   67,74;2026-09-03
823096;AMF Aktiefond Asien Stilla Havet;    459,16;  459,16;2026-09-03
538462;AMF Aktiefond Europa;    444,66;  444,66;2026-09-03
908277;AMF Aktiefond Global;    482,73;  482,73;2026-09-03
520692;AMF Aktiefond Nordamerika;    840,02;  840,02;2026-09-03
269357;AMF Aktiefond Småbolag;   1252,32; 1252,32;2026-09-03
681783;AMF Aktiefond Sverige;   1149,60; 1149,60;2026-09-03
645952;AMF Aktiefond Världen;    892,58;  892,58;2026-09-03
610121;AMF Balansfond;    484,93;  484,93;2026-09-03
305185;AMF Räntefond Kort;    125,18;  125,18;2026-09-03
574293;AMF Räntefond Lång;    159,99;  159,99;2026-09-03
265512;AMF Räntefond Mix;    117,15;  117,15;2026-09-03
791863;Amundi Funds Global Equity Conservative A2;   1503,35; 1503,11;2026-09-02
