Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25362,51;25359,10;2026-09-10
848069;abrdn SICAV I - Future Global Equity Fund;    103,14;  103,12;2026-09-10
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    198,36;  198,33;2026-09-10
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,30;   76,28;2026-09-10
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,10;  317,05;2026-09-10
182584;Aktia Capital Placeringsfond B;     72,62;   72,61;2026-09-10
308908;Aktie-Ansvar Avkastningsfond A;    133,04;  133,04;2026-09-10
392241;Aktiespararna Småbolag Edge B;    113,81;  113,81;2026-09-10
290072;Aktiespararna Topp Sverige;     41,84;   41,84;2026-09-10
147348;Alfred Berg Aktiv R;   4445,55; 4443,84;2026-09-10
183178;Alfred Berg Norge C;   2543,51; 2542,53;2026-09-10
933359;Allianz China A-shares AT;    155,44;  155,41;2026-09-10
753731;Allianz China Equity A;    622,31;  622,21;2026-09-10
717900;Allianz Euro High Yield Bond A;   1254,71; 1254,54;2026-09-10
273839;Allianz Global Equity Growth AT;    117,37;  117,35;2026-09-10
502922;Allianz Global Metals and Mining A;   1217,43; 1217,27;2026-09-10
878694;Allianz Global Water AT;   1882,96; 1882,70;2026-09-10
309666;Allianz Pet and Animal Wellbeing AT;     65,23;   65,22;2026-09-10
823096;AMF Aktiefond Asien Stilla Havet;    470,68;  470,68;2026-09-10
538462;AMF Aktiefond Europa;    441,16;  441,16;2026-09-10
908277;AMF Aktiefond Global;    480,56;  480,56;2026-09-10
520692;AMF Aktiefond Nordamerika;    833,86;  833,86;2026-09-10
269357;AMF Aktiefond Småbolag;   1232,96; 1232,96;2026-09-10
681783;AMF Aktiefond Sverige;   1130,95; 1130,95;2026-09-10
645952;AMF Aktiefond Världen;    883,83;  883,83;2026-09-10
610121;AMF Balansfond;    480,10;  480,10;2026-09-10
305185;AMF Räntefond Kort;    125,20;  125,20;2026-09-10
574293;AMF Räntefond Lång;    159,25;  159,25;2026-09-10
265512;AMF Räntefond Mix;    116,21;  116,21;2026-09-10
791863;Amundi Funds Global Equity Conservative A2;   1474,52; 1474,29;2026-09-09
174490;Amundi Funds Japan Equity Value A2;   1789,64; 1789,07;2026-09-09
756031;Amundi Funds Latin America Equity A2;   7850,99; 7849,76;2026-09-09
720201;Amundi Funds SBI FM India Equity A2;   3594,84; 3594,28;2026-09-09
863522;Amundi Funds Volatility World A2;   1019,50; 1019,34;2026-09-09
