Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  25765,10;25761,67;2026-09-21
848069;abrdn SICAV I - Future Global Equity Fund;    105,13;  105,11;2026-09-21
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    202,10;  202,07;2026-09-18
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,97;   76,95;2026-09-18
900894;abrdn SICAV I - Select Euro High Yield Bond A;    319,67;  319,63;2026-09-21
182584;Aktia Capital Placeringsfond B;     74,17;   74,16;2026-09-21
308908;Aktie-Ansvar Avkastningsfond A;    133,08;  133,08;2026-09-21
392241;Aktiespararna Småbolag Edge B;    115,80;  115,80;2026-09-21
290072;Aktiespararna Topp Sverige;     42,51;   42,51;2026-09-21
147348;Alfred Berg Aktiv R;   4487,72; 4486,00;2026-09-21
183178;Alfred Berg Norge C;   2561,10; 2560,12;2026-09-21
933359;Allianz China A-shares AT;    160,03;  160,00;2026-09-21
753731;Allianz China Equity A;    644,28;  644,19;2026-09-21
717900;Allianz Euro High Yield Bond A;   1264,15; 1263,99;2026-09-21
273839;Allianz Global Equity Growth AT;    121,24;  121,22;2026-09-21
502922;Allianz Global Metals and Mining A;   1178,58; 1178,43;2026-09-21
878694;Allianz Global Water AT;   1912,49; 1912,23;2026-09-21
309666;Allianz Pet and Animal Wellbeing AT;     66,17;   66,16;2026-09-21
823096;AMF Aktiefond Asien Stilla Havet;    477,05;  477,05;2026-09-21
538462;AMF Aktiefond Europa;    446,58;  446,58;2026-09-21
908277;AMF Aktiefond Global;    493,43;  493,43;2026-09-21
520692;AMF Aktiefond Nordamerika;    864,20;  864,20;2026-09-21
269357;AMF Aktiefond Småbolag;   1246,74; 1246,74;2026-09-21
681783;AMF Aktiefond Sverige;   1144,74; 1144,74;2026-09-21
645952;AMF Aktiefond Världen;    901,95;  901,95;2026-09-21
610121;AMF Balansfond;    485,99;  485,99;2026-09-21
305185;AMF Räntefond Kort;    125,24;  125,24;2026-09-21
574293;AMF Räntefond Lång;    159,40;  159,40;2026-09-21
265512;AMF Räntefond Mix;    116,27;  116,27;2026-09-21
791863;Amundi Funds Global Equity Conservative A2;   1496,49; 1496,26;2026-09-18
174490;Amundi Funds Japan Equity Value A2;   1821,72; 1821,15;2026-09-17
756031;Amundi Funds Latin America Equity A2;   7884,95; 7883,74;2026-09-18
720201;Amundi Funds SBI FM India Equity A2;   3655,32; 3654,76;2026-09-18
863522;Amundi Funds Volatility World A2;   1042,67; 1042,51;2026-09-18
581371;AP7 Aktiefond;    994,67;  994,67;2026-09-21
545541;AP7 Räntefond;    118,83;  118,83;2026-09-21
715955;Avanza Emerging Markets;    200,44;  200,44;2026-09-18
734491;Avanza Zero ;    571,64;  571,64;2026-09-21
477729;Baring Asia Growth A;   1943,14; 1942,85;2026-09-21
191080;Baring Global Emerging Markets A;    697,98;  697,88;2026-09-21
262741;Baring Global Resources A;    354,26;  354,20;2026-09-21
334409;Baring Hong Kong China A;  12174,65;12172,79;2026-09-21
235291;Baring Latin America A;    442,30;  442,24;2026-09-21
285990;BL - American Small & Mid Caps B;   2175,70; 2175,37;2026-09-18
551804;BL - Bond Dollar B;    918,15;  918,01;2026-09-18
153833;BL - Emerging Markets B;   2473,40; 2473,07;2026-09-18
300996;BL - Equities America B;   1214,09; 1213,90;2026-09-18
321828;BL - Equities Asia B;   1422,50; 1422,29;2026-09-18
118000;BL - Equities Dividend B;   2806,91; 2806,54;2026-09-18
142679;BL - Equities Japan B;   2172,05; 2171,70;2026-09-18
480145;BL - Global 30 B;   1387,24; 1387,05;2026-09-18
444315;BL - Global 50 B;   1480,16; 1479,97;2026-09-18
408484;BL - Global 75 B;   1531,75; 1531,55;2026-09-18
515973;BL - Global Bond Opportunities B;   1088,41; 1088,27;2026-09-18
320358;BL - Global Equities B;   1495,14; 1494,94;2026-09-18
647669;BL - Global Flexible B;   2781,01; 2780,64;2026-09-18
214338;BL - Global Flexible USD B;   1999,57; 1999,27;2026-09-18
608463;BlackRock - Asian Dragon Fund A2;    745,11;  744,99;2026-09-21
391896;BlackRock - China A2;    190,16;  190,13;2026-09-21
231100;BlackRock - Emerging Markets A2;    578,46;  578,37;2026-09-21
302760;BlackRock - Global Allocation A2;    974,23;  974,08;2026-09-21
572637;BlackRock - Global High Yield Bond Fund A2;    335,17;  335,12;2026-09-21
768499;BlackRock - India A2;    507,72;  507,65;2026-09-21
159442;BlackRock - Japan Small & MidCap A2;   1115,61; 1115,44;2026-09-17
661066;BlackRock - Latin American A2;    815,25;  815,13;2026-09-21
536806;BlackRock - Natural Resources Growth & Income Fund A2;    189,97;  189,94;2026-09-21
553578;BlackRock - Sustainable Energy A2;    224,40;  224,36;2026-09-21
768556;BlackRock - US Basic Value A2;   1731,14; 1730,88;2026-09-21
804385;BlackRock - US Flexible Equity A2;   1005,90; 1005,75;2026-09-21
625236;BlackRock - US Mid-Cap Value Fund A2;   4531,44; 4530,75;2026-09-21
517748;BlackRock - World Energy A2;    367,44;  367,38;2026-09-21
410258;BlackRock - World Financials A2;    786,23;  786,11;2026-09-21
338590;BlackRock - World Gold A2;   1083,82; 1083,65;2026-09-21
374421;BlackRock - World Healthscience A2;    777,18;  777,06;2026-09-21
481911;BlackRock - World Mining A2;   1118,35; 1118,18;2026-09-21
644294;BlackRock - World Real Estate Securities Fund A2;    168,22;  168,20;2026-09-21
446088;BlackRock - World Technology A2;   1489,72; 1489,50;2026-09-21
422709;BMC Global Select fund;    421,52;  421,52;2026-09-21
408062;C WorldWide Asia 1A;   3438,47; 3437,95;2026-09-21
515554;C WorldWide Global Equities 1A;   2364,88; 2364,52;2026-09-21
479725;C WorldWide Global Equities Ethical 1A;    426,62;  426,56;2026-09-21
443895;C WorldWide Healthcare Select 1A;   1628,45; 1628,24;2026-09-21
721035;C WorldWide Sweden Small Cap 1A;    787,47;  787,47;2026-09-21
320176;Carnegie Fastighetsfond Norden A;    434,02;  434,02;2026-09-21
505586;Carnegie Indienfond A;    722,78;  722,78;2026-09-21
214163;Carnegie Likviditetsfond A;   1372,24; 1372,24;2026-09-21
341362;Carnegie Listed Private Equity A;    701,33;  701,33;2026-09-21
554691;Carnegie Obligationsfond A;    985,61;  985,61;2026-09-21
584912;Carnegie Småbolagsfond A;    837,45;  837,45;2026-09-21
357483;Carnegie Strategifond A;   2587,00; 2587,00;2026-09-21
393314;Carnegie Sverigefond A;   6102,92; 6102,92;2026-09-21
976506;CB Save Earth Fund RC;    286,32;  286,29;2026-09-18
384750;Cicero Avkastning A;    143,92;  143,92;2026-09-21
959502;Cicero Hållbar Mix A;    212,24;  212,24;2026-09-21
356410;Cliens Småbolag ;   3244,91; 3244,91;2026-09-21
423822;Cliens Sverige;   1107,66; 1107,66;2026-09-21
386870;Coeli High Yield Opportunities;    129,99;  129,99;2026-09-21
330324;CPR Invest Global Gold Mines A2;   2387,75; 2387,38;2026-09-18
366154;CPR Invest Global Lifestyles A2;   1184,16; 1183,98;2026-09-18
